Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.042682956000135164,-0.0,2.2080774945804832e-05,3.79179459794659e-06,0.04423046224019205,[0.],[-188.37086352],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.022839559999738412,-0.0,9.919105902823312e-08,-3.1254773652760456e-07,-0.0006478098734682068,[-0.],[57.77578646],[-0.57091264],24946.74679632246,4267.489218435895,24123.415629211133,7655.877371642224
3,2026-Jan-01 00:00:10.000,0.022086361999754445,-0.0,9.858091435513359e-08,-3.112999748748349e-07,-0.0006455654255408625,[-0.],[57.62003012],[-0.57202568],24931.310418080706,4248.507910920821,24110.64491364481,7635.238076182697
4,2026-Jan-01 00:00:15.000,0.023158595000495552,-0.0,9.798759406477548e-08,-3.100874010565289e-07,-0.0006434223027057031,[-0.],[57.46400426],[-0.57320988],24914.763203621143,4229.454266866997,24096.72463579186,7614.563067888736
5,2026-Jan-01 00:00:20.000,0.02232046400058607,-0.0,9.740709781054074e-08,-3.0889811443975696e-07,-0.0006413550385800401,[-0.],[57.30770213],[-0.57445887],24897.127911055,4210.324441410958,24081.678310632535,7593.851451311586
6,2026-Jan-01 00:00:25.000,0.02214152400028979,-0.0,9.683604695793047e-08,-3.07722080642441e-07,-0.0006393420013172679,[-0.],[57.15111636],[-0.57577457],24878.427692187168,4191.114568922294,24065.52987355953,7573.102248750619
7,2026-Jan-01 00:00:30.000,0.02280745600000955,-0.0,9.627118948031149e-08,-3.0654957129455717e-07,-0.0006373621532280671,[-0.],[56.9942402],[-0.57715151],24858.686065399557,4171.820766635304,24048.303601176067,7552.31456658698
8,2026-Jan-01 00:00:35.000,0.022449424999649636,-0.0,9.571001473580757e-08,-3.0537313730507113e-07,-0.0006353991485830351,[-0.],[56.83706672],[-0.57859788],24837.926888113812,4152.439138331562,24030.024118388028,7531.487486979218
9,2026-Jan-01 00:00:40.000,0.021733345000029658,-0.0,9.515052435689316e-08,-3.041868963845375e-07,-0.0006334398612158811,[-0.],[56.67958982],[-0.58010653],24816.174328881807,4132.965778069057,24010.716329144012,7510.620201123176
10,2026-Jan-01 00:00:45.000,0.021871330000067246,-0.0,9.459112485909171e-08,-3.029862130301436e-07,-0.0006314737236887799,[-0.],[56.52180316],[-0.58168033],24793.452839152593,4113.396773953371,23990.405432884603,7489.711868494996
11,2026-Jan-01 00:00:50.000,0.02250861300035467,-0.0,9.403089328413371e-08,-3.0176856120684026e-07,-0.0006294945341930015,[-0.],[56.36370074],[-0.58331047],24769.787124765193,4093.728211946344,23969.116871975788,7468.761695022443
12,2026-Jan-01 00:00:55.000,0.023077613999703317,-0.0,9.346941479255971e-08,-3.0053302178155895e-07,-0.0006274994243618298,[-0.],[56.20527718],[-0.58500219],24745.202117216075,4073.956179707648,23946.876292930676,7447.768967088584
13,2026-Jan-01 00:01:00.000,0.02219788099955622,-0.0,9.290655915919078e-08,-2.9927958272924236e-07,-0.0006254874104864949,[-0.],[56.04652689],[-0.58674007],24719.72294475108,4054.076770464938,23923.709551281543,7426.732944707026
