Index,Time,Total Velo,dLat,dLon
1,2026-Jan-01 00:00:00.000,7546.592351670894,6.119221292717397e-05,359.9999915088788
2,2026-Jan-01 00:00:05.000,7546.592488405276,6.119219720651659e-05,-8.49136378633375e-06
3,2026-Jan-01 00:00:10.000,7546.592488713403,6.119214680389007e-05,-8.492090245226791e-06
4,2026-Jan-01 00:00:15.000,7546.592489028925,6.119206278698552e-05,-8.493301265843911e-06
5,2026-Jan-01 00:00:20.000,7546.59248925337,6.119194513520831e-05,-8.494996990293657e-06
6,2026-Jan-01 00:00:25.000,7546.592489526932,6.119179382357842e-05,-8.4971779301668e-06
7,2026-Jan-01 00:00:30.000,7546.592489809017,6.119160881690178e-05,-8.49984448336727e-06
8,2026-Jan-01 00:00:35.000,7546.592489965137,6.119139007276786e-05,-8.502997275172675e-06
9,2026-Jan-01 00:00:40.000,7546.592490208199,6.119113754143868e-05,-8.506636987704042e-06
10,2026-Jan-01 00:00:45.000,7546.592490396831,6.119085116429446e-05,-8.5107646157212e-06
11,2026-Jan-01 00:00:50.000,7546.592490665663,6.119053087916271e-05,-8.515380898188596e-06
12,2026-Jan-01 00:00:55.000,7546.592490868345,6.119017660966009e-05,-8.520486915131187e-06
13,2026-Jan-01 00:01:00.000,7546.592491094853,6.118978827762689e-05,-8.52608383183906e-06
14,2026-Jan-01 00:01:05.000,7546.592491321518,6.118936579158074e-05,-8.532172984132558e-06
15,2026-Jan-01 00:01:10.000,7546.592491260138,6.118890905248975e-05,-8.538755707832024e-06
16,2026-Jan-01 00:01:15.000,7546.592491643716,6.118841796354246e-05,-8.545833537709768e-06
17,2026-Jan-01 00:01:20.000,7546.592491688273,6.118789240439071e-05,-8.55340798011639e-06
18,2026-Jan-01 00:01:25.000,7546.592491667156,6.118733225690676e-05,-8.56148096772813e-06
19,2026-Jan-01 00:01:30.000,7546.592491891541,6.118673739230474e-05,-8.570054120582427e-06
20,2026-Jan-01 00:01:35.000,7546.592492109432,6.118610767558152e-05,-8.579129513464068e-06
21,2026-Jan-01 00:01:40.000,7546.592492261491,6.118544295841133e-05,-8.588709249579551e-06
22,2026-Jan-01 00:01:45.000,7546.592492333567,6.11847430862511e-05,-8.598795460557085e-06
23,2026-Jan-01 00:01:50.000,7546.592492491974,6.118400790011691e-05,-8.60939053382026e-06
24,2026-Jan-01 00:01:55.000,7546.592492258409,6.118323722237307e-05,-8.620496913636089e-06
25,2026-Jan-01 00:02:00.000,7546.592492439901,6.11824308869302e-05,-8.632117015849872e-06
26,2026-Jan-01 00:02:05.000,7546.592492819042,6.118158869927726e-05,-8.644253625789133e-06
27,2026-Jan-01 00:02:10.000,7546.592492392382,6.118071045246865e-05,-8.656909670889945e-06
28,2026-Jan-01 00:02:15.000,7546.592492881652,6.11797959599869e-05,-8.670087908058122e-06
29,2026-Jan-01 00:02:20.000,7546.592492565431,6.117884499090565e-05,-8.68379149210341e-06
30,2026-Jan-01 00:02:25.000,7546.592492900091,6.117785733472658e-05,-8.698023577835556e-06
31,2026-Jan-01 00:02:30.000,7546.5924927868,6.117683274808883e-05,-8.712787547437983e-06
32,2026-Jan-01 00:02:35.000,7546.592492854471,6.117577099828964e-05,-8.728086811515823e-06
