Index,Time,Distance,Latitude,Longitude,Altitude,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly,"Semi-Major Axis, a",f,g,h,k,L
1,2026-Jan-01 00:00:00.000,0.0,0.0,-180.0,620.862999999999,6998999.999999999,0.0,0.0,6999000.0,0.0,97.9,0.0,0.0,0.0,6999000.0,0.0,0.0,1.1483429368947748,0.0,0.0
2,2026-Jan-01 00:00:05.000,6.330112146550123e-06,0.30596103662961277,179.93665366257693,620.8636128787157,6998898.287401645,-5186.164683080437,37374.67464724377,6999000.013668313,1.9528950704518266e-09,97.90000000960731,0.0,0.0,0.30889262141482354,6999000.013668313,1.9528950704518266e-09,0.0,1.1483429370891731,0.0,0.005391193278805016
3,2026-Jan-01 00:00:10.000,5.126264536726055e-05,0.6119219055296196,179.87330490346972,620.8654514425118,6998593.152562409,-10372.178658659728,74748.26303684677,6999000.010962489,1.5663005725053902e-09,97.90000004450476,1.8994338666037692e-10,-0.07624194889477164,0.6940271920521255,6999000.010962489,1.56629918578865e-09,-2.0842333183726885e-12,1.148342937795302,3.806914724016678e-12,0.01078238656664473
4,2026-Jan-01 00:00:15.000,0.00011011452834310747,0.917882438301464,179.80995130072534,620.8685154743819,6998084.604351043,-15557.891189635287,112119.67886569492,6999000.008272795,1.1820410266752871e-09,97.90000007926803,5.683804145540334e-10,-0.30187427640334596,1.228552141269379,6999000.008272795,1.182024620456537e-09,-6.227790791815975e-12,1.1483429384987158,1.1391687851721559e-11,0.016173579857183467
5,2026-Jan-01 00:00:20.000,0.0001854428805044266,1.2238424668283474,179.74659043124637,620.872804612726,6997372.657548483,-20743.151553740816,149487.83593758167,6999000.0055988,8.001169477919131e-10,97.9000001138997,1.1339145489184707e-09,-0.8884701393499894,2.12404062589099,6999000.0055988,8.000207521985605e-10,-1.2406699621432675e-11,1.1483429391994668,2.272632953023636e-11,0.021564773150399286
6,2026-Jan-01 00:00:25.000,0.0002804959908568812,1.5298018228786772,179.68321987029293,620.8783183514057,6996457.332847432,-25927.809041853616,186851.64815101464,6999000.002940182,4.2075661057258853e-10,97.90000014840106,1.8851739945676e-09,-2.805961943023876,4.3504250512062725,6999000.002940182,4.202521439491179e-10,-2.0597593225976404e-11,1.1483429398975813,3.7783345746189404e-11,0.026955966446270692
7,2026-Jan-01 00:00:30.000,0.0003969979517357276,1.8357603380677208,179.61983719093396,620.8850560397981,6995338.6568517415,-31111.712962374146,224210.02953078356,6999000.000296708,5.263295448516385e-11,97.9000001827723,2.820788366805875e-09,-35.78576077927124,37.6391165090616,6999000.000296708,4.269633523848514e-11,-3.077744068372517e-11,1.148342940593063,5.653527075565748e-11,0.03234715974477621
8,2026-Jan-01 00:00:35.000,0.0005358207004784124,2.14171784381919,179.5564399634975,620.8930168828778,6994016.662075651,-36294.71264560523,261561.89425952447,6998999.9976682365,3.3541462136335556e-10,97.90000021701258,3.939365957246047e-09,-172.64765028502248,174.80989863638752,6998999.9976682365,-3.3265681981926824e-10,-4.292328566237768e-11,1.148342941285894,7.895421143738071e-11,0.03773835304589397
9,2026-Jan-01 00:00:40.000,0.000697394959534472,2.4476741713267267,179.49302575501966,620.9021999413158,6992491.386942836,-41476.65744813081,298906.15670927893,6998999.995054693,7.081065581866018e-10,97.90000025112013,5.2394789966073935e-09,-175.38192276744678,177.85306374035335,6998999.995054693,-7.058077083000013e-10,-5.701207460859142e-11,1.14834294197604,1.0501155192437882e-10,0.04312954634960146
10,2026-Jan-01 00:00:45.000,0.0008819206333852125,2.7536291515152853,179.42959212869195,620.9126041315915,6990762.875785291,-46657.39675719375,336241.73147304804,6998999.992456056,1.0792224495678853e-09,97.90000028509263,6.7196543366221384e-09,-176.1203848067946,178.90041840120966,6998999.992456056,-1.076749318834448e-09,-7.302054533389016e-11,1.1483429426634533,1.346777668473121e-10,0.04852073965587533
