Index,Time,Total Velo,dLat,dLon
1,2026-Jan-01 00:00:00.000,7546.592351670894,6.119221292717397e-05,359.9999915088788
2,2026-Jan-01 00:00:05.000,7546.592359044656,6.119219618255789e-05,-8.491363416851527e-06
3,2026-Jan-01 00:00:10.000,7546.592357584807,6.119214575950327e-05,-8.492089932587987e-06
4,2026-Jan-01 00:00:15.000,7546.5923561589325,6.11920617220596e-05,-8.493300981626817e-06
5,2026-Jan-01 00:00:20.000,7546.592354662733,6.119194405096451e-05,-8.4949968197634e-06
6,2026-Jan-01 00:00:25.000,7546.592353211781,6.11917927193506e-05,-8.497177759636543e-06
7,2026-Jan-01 00:00:30.000,7546.592351844614,6.119160769335608e-05,-8.499844369680432e-06
8,2026-Jan-01 00:00:35.000,7546.592350389838,6.119138892968223e-05,-8.502997218329256e-06
9,2026-Jan-01 00:00:40.000,7546.59234907972,6.119113638058948e-05,-8.506636987704042e-06
10,2026-Jan-01 00:00:45.000,7546.592347641093,6.11908499852376e-05,-8.51076458729949e-06
11,2026-Jan-01 00:00:50.000,7546.592346192574,6.11905296818982e-05,-8.515380926610305e-06
12,2026-Jan-01 00:00:55.000,7546.592344807568,6.119017539374383e-05,-8.520486943552896e-06
13,2026-Jan-01 00:01:00.000,7546.59234354006,6.118978704350297e-05,-8.526083973947607e-06
14,2026-Jan-01 00:01:05.000,7546.592342104904,6.118936453836099e-05,-8.532173183084524e-06
15,2026-Jan-01 00:01:10.000,7546.592340792096,6.118890778505914e-05,-8.53875590678399e-06
16,2026-Jan-01 00:01:15.000,7546.592339208374,6.118841667479558e-05,-8.545833736661734e-06
17,2026-Jan-01 00:01:20.000,7546.592338181109,6.118789110143297e-05,-8.553408349598612e-06
18,2026-Jan-01 00:01:25.000,7546.592336968491,6.118733093973816e-05,-8.561481308788643e-06
19,2026-Jan-01 00:01:30.000,7546.592335398631,6.118673605648439e-05,-8.57005446164294e-06
20,2026-Jan-01 00:01:35.000,7546.59233380731,6.118610632110943e-05,-8.579129968211419e-06
21,2026-Jan-01 00:01:40.000,7546.592332543668,6.118544158706385e-05,-8.588709704326902e-06
22,2026-Jan-01 00:01:45.000,7546.592331506013,6.118474170069277e-05,-8.598796000569564e-06
23,2026-Jan-01 00:01:50.000,7546.592330244142,6.118400649768319e-05,-8.609391102254449e-06
24,2026-Jan-01 00:01:55.000,7546.592329281832,6.118323581283391e-05,-8.620497453648568e-06
25,2026-Jan-01 00:02:00.000,7546.592327582611,6.11824294551866e-05,-8.632117669549189e-06
26,2026-Jan-01 00:02:05.000,7546.592326322164,6.11815872488819e-05,-8.644254364753579e-06
27,2026-Jan-01 00:02:10.000,7546.59232511048,6.118070899230332e-05,-8.656910381432681e-06
28,2026-Jan-01 00:02:15.000,7546.592324323146,6.117979448738708e-05,-8.670088647022567e-06
29,2026-Jan-01 00:02:20.000,7546.592322307063,6.11788434987659e-05,-8.683792259489564e-06
30,2026-Jan-01 00:02:25.000,7546.592321442352,6.117785583015234e-05,-8.69802443048684e-06
31,2026-Jan-01 00:02:30.000,7546.592320139972,6.117683123285644e-05,-8.712788400089266e-06
32,2026-Jan-01 00:02:35.000,7546.592319059957,6.117576946707004e-05,-8.728087721010525e-06
33,2026-Jan-01 00:02:40.000,7546.59231837218,6.117467028943224e-05,-8.743925917542583e-06
34,2026-Jan-01 00:02:45.000,7546.5923164398455,6.117353341927867e-05,-8.760306741351087e-06
35,2026-Jan-01 00:02:50.000,7546.592315526442,6.117235860969572e-05,-8.777234057788519e-06
36,2026-Jan-01 00:02:55.000,7546.592314180647,6.117114556580816e-05,-8.794711902737617e-06
37,2026-Jan-01 00:03:00.000,7546.5923132543685,6.116989400517525e-05,-8.81274439734625e-06
38,2026-Jan-01 00:03:05.000,7546.5923115560645,6.11686036187109e-05,-8.831335804870832e-06
39,2026-Jan-01 00:03:10.000,7546.592310703508,6.116727410798717e-05,-8.850490644363163e-06
40,2026-Jan-01 00:03:15.000,7546.592309516747,6.116590514260167e-05,-8.870213378031622e-06
41,2026-Jan-01 00:03:20.000,7546.5923086506355,6.116449639925747e-05,-8.890508837566813e-06
42,2026-Jan-01 00:03:25.000,7546.592307194764,6.11630475226832e-05,-8.911381911502758e-06
43,2026-Jan-01 00:03:30.000,7546.592305942248,6.116155816648927e-05,-8.932837687325446e-06
44,2026-Jan-01 00:03:35.000,7546.592305331026,6.116002797540432e-05,-8.954881167255735e-06
45,2026-Jan-01 00:03:40.000,7546.592303749523,6.115845655507712e-05,-8.977517950370384e-06
46,2026-Jan-01 00:03:45.000,7546.592303031826,6.115684353957818e-05,-9.000753522059313e-06
47,2026-Jan-01 00:03:50.000,7546.592301574978,6.115518850968726e-05,-9.024593538242698e-06
48,2026-Jan-01 00:03:55.000,7546.59230051124,6.115349107282952e-05,-9.049043796949263e-06
49,2026-Jan-01 00:04:00.000,7546.592300329103,6.115175080090296e-05,-9.074110465689955e-06
50,2026-Jan-01 00:04:05.000,7546.592298479438,6.114996723916022e-05,-9.099799598288882e-06
