Index,Time,Distance,Latitude,Longitude,Altitude,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly,"Semi-Major Axis, a",f,g,h,k,L
1,2026-Jan-01 00:00:00.000,0.0,0.0,-180.0,620.862999999999,6998999.999999999,0.0,0.0,6999000.0,0.0,97.9,0.0,0.0,0.0,6999000.0,0.0,0.0,1.1483429368947748,0.0,0.0
2,2026-Jan-01 00:00:05.000,3.7627399540278205e-09,0.30596103663672747,179.93665366262817,620.8636128785173,6998898.287401446,-5186.164676817062,37374.6746481118,6999000.000008127,1.1611904247566238e-12,97.90000000000572,0.0,0.0,0.30889262141482354,6999000.000008127,1.1611904247566238e-12,0.0,1.1483429368948905,0.0,0.005391193278805016
3,2026-Jan-01 00:00:10.000,1.0604210951415345e-07,0.6119219052712753,179.87330490380103,620.8654514417527,6998593.152562049,-10372.17861819735,74748.2630052823,6999000.000021228,3.0330060295341327e-12,97.89999999983675,-9.196575076210403e-13,0.19063315607632686,0.4271520867533732,6999000.000021228,3.0329892417069997e-12,1.0091326969402052e-14,1.1483429368914717,-1.8432111618181258e-14,0.010782386557594906
4,2026-Jan-01 00:00:15.000,3.319098895382838e-07,0.917882437863032,179.80995130151496,620.8685154727847,6998084.604350524,-15557.891093194443,112119.67881211938,6999000.000034277,4.897446585084006e-12,97.8999999996681,-2.7557001033677388e-12,0.35324995208181587,0.5734279121629238,6999000.000034277,4.897353504886742e-12,3.019440220531498e-14,1.1483429368880589,-5.523074782779576e-14,0.016173579836371646
5,2026-Jan-01 00:00:20.000,6.740226038215717e-07,1.223842466294782,179.74659043267204,620.8728046100894,6997372.657547765,-20743.15137962214,149487.83587236243,6999000.000047278,6.754794384735716e-12,97.89999999949973,-5.505133882024361e-12,0.5109271881717051,0.7246432974882364,6999000.000047278,6.754525818122525e-12,6.023414624102362e-14,1.148342936884652,-1.1033590368700036e-13,0.02156477311513528
6,2026-Jan-01 00:00:25.000,1.1322017337603192e-06,1.5298018223345242,179.68321987253194,620.8783183476124,6996457.332846439,-25927.808768437077,186851.64808446605,6999000.00006023,8.605257558327646e-12,97.89999999933164,-9.165104577113331e-12,0.6667593427283857,0.8777037643469192,6999000.00006023,8.604674889302589e-12,1.0013837706178924e-13,1.148342936881251,-1.8369037294453813e-13,0.02695596639388584
7,2026-Jan-01 00:00:30.000,1.7062598152137952e-06,1.835760337597123,179.619837194163,620.8850560348006,6995338.656850353,-31111.71256811897,224210.02947316723,6999000.000073135,1.0448981685862815e-11,97.89999999916384,-1.3732786291653431e-11,0.8216393790056692,1.0317163494851598,6999000.000073135,1.044790731615121e-11,1.4983652628967167e-13,1.1483429368778557,-2.7523751794095953e-13,0.03234715967262336
8,2026-Jan-01 00:00:35.000,2.395944102874805e-06,2.1417178435058877,179.55643996789283,620.8930168767124,6994016.662073714,-36294.7121090506,261561.8942210496,6999000.000085995,1.2286051073310984e-11,97.89999999899634,-1.920526705160078e-11,0.9759196861189422,1.186328663787571,6999000.000085995,1.2284268880394644e-11,2.0925833358242608e-13,1.1483429368744662,-3.84918975828892e-13,0.037738352951347885
9,2026-Jan-01 00:00:40.000,3.2012125438947855e-06,2.4476741712540573,179.49302576075698,620.9021999340961,6992491.386940157,-41476.65674789683,298906.15670010186,6999000.000098809,1.4116503374152134e-11,97.8999999988291,-2.5579482686301578e-11,1.129765902539664,1.3413750687826926,6999000.000098809,1.411375918065581e-11,2.783330790660863e-13,1.1483429368710825,-5.126733333809273e-13,0.04312954623005945
10,2026-Jan-01 00:00:45.000,4.121610632602079e-06,2.7536291517661806,179.42959213594654,620.9126041235077,6990762.875781643,-46657.39587198328,336241.7315032722,6999000.000111577,1.5940337848503638e-11,97.89999999866218,-3.2852161204152726e-11,1.283264489321127,1.4967691034172312,6999000.000111577,1.5936339906776634e-11,3.5698893556537643e-13,1.148342936867705,-6.584350121462988e-13,0.04852073950875809
