Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.08020095500000934,-0.0,2.741271134600019e-08,4.707414982125938e-09,0.001098219511830047,[0.00053246],[-9.41854318],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.02951334400017913,0.0,-5.696805326975672e-09,1.795044473929146e-08,0.0007441087532093827,[-0.00172863],[2.88878926],[-0.57091264],24946.746796302803,4267.48921844545,24123.41564572407,7655.877319551788
3,2026-Jan-01 00:00:10.000,0.024662261999992552,0.0,-5.661626200083938e-09,1.787835022655015e-08,0.0007415127331973433,[-0.00172618],[2.88100144],[-0.57202568],24931.31041836264,4248.507911226061,24110.644937221972,7635.238002820884
4,2026-Jan-01 00:00:15.000,0.025927820000106294,0.0,-5.627325048672114e-09,1.780799524645095e-08,0.0007390214025235994,[-0.00172394],[2.87320016],[-0.57320988],24914.7632043073,4229.454267483284,24096.724649165055,7614.5630281558915
5,2026-Jan-01 00:00:20.000,0.023466740000003483,0.0,-5.593679682530489e-09,1.773871882181107e-08,0.0007366064183884981,[-0.00172187],[2.86538505],[-0.57445887],24897.127912247306,4210.324442353642,24081.67832778153,7593.851401360302
6,2026-Jan-01 00:00:25.000,0.02595370499989258,0.0,-5.560495446198802e-09,1.7669941013568783e-08,0.0007342427570079291,[-0.0017199],[2.85755576],[-0.57577457],24878.427693986596,4191.114570206725,24065.529887655346,7573.102210579591
7,2026-Jan-01 00:00:30.000,0.025444356000207335,0.0,-5.5275921198682345e-09,1.7601122606046974e-08,0.000731907035198763,[-0.00171798],[2.84971194],[-0.57715151],24858.686067906117,4171.82076827681,24048.30362269582,7552.314507220322
8,2026-Jan-01 00:00:35.000,0.027573134999784088,0.0,-5.494818804761566e-09,1.7531812853599495e-08,0.0007295794942232991,[-0.00171606],[2.84185328],[-0.57859788],24837.92689142661,4152.43914034547,24030.024133646515,7531.487450330933
9,2026-Jan-01 00:00:40.000,0.02580118599985326,0.0,-5.462068861343192e-09,1.746169866135468e-08,0.000727246051736933,[-0.00171412],[2.83397943],[-0.58010653],24816.17433309878,4132.9657804706485,24010.716345107237,7510.6201653453445
10,2026-Jan-01 00:00:45.000,0.022907440999915707,0.0,-5.429249281092669e-09,1.7390507702365108e-08,0.0007248942808136871,[-0.00171211],[2.82609011],[-0.58168033],24793.452844370568,4113.396776757883,23990.405446218203,7489.711844599444
11,2026-Jan-01 00:00:50.000,0.02483033700013948,0.0,-5.396316705950105e-09,1.7318124629837232e-08,0.0007225182603491093,[-0.00171004],[2.81818499],[-0.58331047],24769.787131079804,4093.7282151689574,23969.116879439687,7468.761693777389
12,2026-Jan-01 00:00:55.000,0.02399467400005051,0.0,-5.363243460746448e-09,1.72444833492238e-08,0.0007201141029718706,[-0.00170788],[2.81026381],[-0.58500219],24745.202124721814,4073.9561833635134,23946.87630482,7447.768955798314
13,2026-Jan-01 00:01:00.000,0.026711480000130905,0.0,-5.330037795454675e-09,1.7169632610729727e-08,0.0007176827058119292,[-0.00170565],[2.8023263],[-0.58674007],24719.722953541008,4054.0767745691073,23923.709560905983,7426.732945201309
14,2026-Jan-01 00:01:05.000,0.025587677999965308,0.0,-5.296716839448197e-09,1.709364997256757e-08,0.0007152261737116861,[-0.00170335],[2.7943722],[-0.58853342],24693.374913495976,4034.086091475152,23899.642659691264,7405.652972626459
15,2026-Jan-01 00:01:10.000,0.025220795999985057,0.0,-5.263341622212455e-09,1.7016755078156237e-08,0.0007127525723982672,[-0.00170099],[2.78640128],[-0.59038032],24666.183439146273,4013.980250146274,23874.701736814954,7384.52841285775
16,2026-Jan-01 00:01:15.000,0.02417960299999322,0.0,-5.229970609447445e-09,1.693916045163937e-08,0.0007102697062445243,[-0.0016986],[2.77841332],[-0.59228485],24638.17407450931,3993.7553839504903,23848.913029394684,7363.358683985496
17,2026-Jan-01 00:01:20.000,0.02432954799996878,0.0,-5.196693118152262e-09,1.6861179776530317e-08,0.0007077896660479254,[-0.0016962],[2.7704081],[-0.59423495],24609.372443935677,3973.407647497857,23822.30284694299,7342.143248811415
18,2026-Jan-01 00:01:25.000,0.02340818900006525,0.0,-5.163595229183961e-09,1.6783117916664677e-08,0.000705324235454478,[-0.00169383],[2.76238546],[-0.59623327],24579.804223049607,3952.9332205850965,23794.89754219266,7320.88161674578
19,2026-Jan-01 00:01:30.000,0.024244361000000936,0.0,-5.13077090794072e-09,1.6705306960421725e-08,0.000702886410616722,[-0.00169152],[2.75434522],[-0.59828624],24549.49510980142,3932.328312141854,23766.723482054887,7299.5733456262315
20,2026-Jan-01 00:01:35.000,0.025829723000015292,0.0,-5.098308667914207e-09,1.662806290904628e-08,0.0007004885874003983,[-0.00168929],[2.74628723],[-0.60038372],24518.470795676865,3911.589164174242,23737.80702231727,7278.218031837856
21,2026-Jan-01 00:01:40.000,0.023892847000070105,0.0,-5.066308730461489e-09,1.6551741444883652e-08,0.0006981449148064338,[-0.00168718],[2.73821136],[-0.60253154],24486.756937108814,3890.7120557013523,23708.174469010853,7256.815344513629
22,2026-Jan-01 00:01:45.000,0.025019782000072155,0.0,-5.034847141342304e-09,1.647662085282709e-08,0.0006958663653769705,[-0.00168523],[2.73011751],[-0.6047221],24454.379127134354,3869.693306680624,23677.85205985813,7235.364995137803
