Index,Time,Distance,Latitude,Longitude,Altitude,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly,"Semi-Major Axis, a",f,g,h,k,L
1,2026-Jan-01 00:00:00.000,0.0,0.0,-180.0,620.862999999999,6998999.999999999,0.0,0.0,6999000.0,0.0,97.9,0.0,0.0,0.0,6999000.0,0.0,0.0,1.1483429368947748,0.0,0.0
2,2026-Jan-01 00:00:05.000,0.00010206224635618533,0.3059610367515128,179.93665366345544,620.863612875307,6998898.287398237,-5186.16457576736,37374.67466211614,6998999.779622696,3.1486970136764725e-08,97.89999984509907,0.0,180.0,-179.69110737858517,6998999.779622696,-3.1486970136764725e-08,0.0,1.1483429337604476,0.0,0.005391193278805016
3,2026-Jan-01 00:00:10.000,0.0006260522766454544,0.6119219006763739,179.87330490606848,620.8654514288875,6998593.152555626,-10372.178341216844,74748.26244388436,6998999.7788308095,3.1600111363217095e-08,97.89999985531217,5.558886782038983e-11,-179.99889402834089,180.6166792663154,6998999.7788308095,-3.160011135733e-08,-6.099721418355764e-13,1.1483429339671034,1.1141323865608727e-12,0.010782386473842363
4,2026-Jan-01 00:00:15.000,0.001224255943758603,0.9178824285340531,179.8099513051701,620.8685154437842,6998084.604340886,-15557.890646732034,112119.67767221585,6998999.778044004,3.17125217821473e-08,97.89999986548133,1.66291611557723e-10,-179.9967080199423,180.92338587446747,6998999.778044004,-3.1712521729802936e-08,-1.8220712832579424e-12,1.1483429341728704,3.3328771991125287e-12,0.01617357966968367
5,2026-Jan-01 00:00:20.000,0.001826206220311041,1.2238424522080547,179.74659043766252,620.8728045584551,6997372.657534926,-20743.150770105753,149487.83415088436,6998999.777262143,3.182421770288376e-08,97.89999987560745,3.316505926703564e-10,-179.99346686183847,181.22903733290588,6998999.777262143,-3.1824217496000094e-08,-3.6287493251013897e-12,1.148342934377766,6.647062279486803e-12,0.02156477286633173
6,2026-Jan-01 00:00:25.000,0.002429992313485836,1.5298018034670933,179.6832198788057,620.8783182668146,6996457.332830417,-25927.80800227389,186851.64577837833,6998999.776485123,3.1935210946188664e-08,97.89999988569097,5.512170662789231e-10,-179.98919459756664,181.5336576851684,6998999.776485123,-3.193521037828265e-08,-6.022656896536074e-12,1.1483429345818001,1.1047693719530943e-11,0.026955966063789492
7,2026-Jan-01 00:00:30.000,0.0030352278346388916,1.8357603139267478,179.6198372016682,620.8850559182968,6995338.656831181,-31111.711651695547,224210.02657946854,6998999.775712867,3.204550955971345e-08,97.89999989573207,8.245443967626652e-10,-179.98391459028085,181.83727029440985,6998999.775712867,-3.204550829685051e-08,-8.996564405951888e-12,1.1483429347849758,1.6525819885612173e-11,0.032347159262059944
8,2026-Jan-01 00:00:35.000,0.0036418202907176475,2.1417178150110407,179.55643997657788,620.8930167179359,6994016.66205143,-36294.71104873274,261561.89073677227,6998999.774945325,3.2155117960639964e-08,97.89999990573061,1.1511812708404505e-09,-179.97764967895765,182.13989799960729,6998999.774945325,-3.2155115514155755e-08,-1.2543283894066575e-11,1.14834293498729,2.3072395392709176e-11,0.03773835246114598
9,2026-Jan-01 00:00:40.000,0.004249735962365798,2.447674137913926,179.49302577057065,620.902199726454,6992491.386914807,-41476.65555002936,298906.15262231184,6998999.774182465,3.226403778747235e-08,97.89999991568615,1.5306676619772516e-09,-179.97042227578228,182.4415632129466,6998999.774182465,-3.2264033488417333e-08,-1.6655621529855824e-11,1.1483429351887349,3.067820022157292e-11,0.04312954566105034
10,2026-Jan-01 00:00:45.000,0.004858978990543307,2.7536291135606645,179.42959214683765,620.9126038603922,6990762.8757532835,-46657.39454288954,336241.72682906897,6998999.773424272,3.237226848101145e-08,97.89999992559817,1.962531788747948e-09,-179.96225444067886,182.74228799435247,6998999.773424272,-3.23722614562815e-08,-2.132634141364976e-11,1.1483429353892984,3.933377875714305e-11,0.04852073886177555
