Index,Time,Total Velo,dLat,dLon
1,2026-Jan-01 00:00:00.000,7546.592351670894,6.119221292717397e-05,359.9999915088788
2,2026-Jan-01 00:00:05.000,7546.592307850638,6.119219610534188e-05,-8.491360972584516e-06
3,2026-Jan-01 00:00:10.000,7546.592305444596,6.119214568023335e-05,-8.492087403055848e-06
4,2026-Jan-01 00:00:15.000,7546.592303094891,6.119206164112434e-05,-8.493298480516387e-06
5,2026-Jan-01 00:00:20.000,7546.592300742827,6.1191943968808e-05,-8.494994233387843e-06
6,2026-Jan-01 00:00:25.000,7546.592298396657,6.119179263541774e-05,-8.497175144839275e-06
7,2026-Jan-01 00:00:30.000,7546.59229602257,6.119160760720277e-05,-8.499841641196326e-06
8,2026-Jan-01 00:00:35.000,7546.592293788259,6.119138884352893e-05,-8.50299448984515e-06
9,2026-Jan-01 00:00:40.000,7546.592291425958,6.119113629177164e-05,-8.506634202376517e-06
10,2026-Jan-01 00:00:45.000,7546.592289055694,6.11908498950875e-05,-8.510761745128548e-06
11,2026-Jan-01 00:00:50.000,7546.592286892986,6.119052959041582e-05,-8.515378027595943e-06
12,2026-Jan-01 00:00:55.000,7546.592284609595,6.119017530181736e-05,-8.520484072960244e-06
13,2026-Jan-01 00:01:00.000,7546.592282418905,6.118978694935606e-05,-8.526081018089826e-06
14,2026-Jan-01 00:01:05.000,7546.592280184015,6.118936444554635e-05,-8.532170141961615e-06
15,2026-Jan-01 00:01:10.000,7546.592277931675,6.118890769002405e-05,-8.53875289408279e-06
16,2026-Jan-01 00:01:15.000,7546.592275622293,6.118841657976049e-05,-8.545830695538825e-06
17,2026-Jan-01 00:01:20.000,7546.5922736443035,6.11878910055097e-05,-8.553405194788866e-06
18,2026-Jan-01 00:01:25.000,7546.59227134903,6.118733083848582e-05,-8.561478097135478e-06
19,2026-Jan-01 00:01:30.000,7546.592269284357,6.118673595878477e-05,-8.570051306833193e-06
20,2026-Jan-01 00:01:35.000,7546.592267047316,6.118610622429799e-05,-8.579126728136544e-06
21,2026-Jan-01 00:01:40.000,7546.592264886723,6.118544148936422e-05,-8.588706435830318e-06
22,2026-Jan-01 00:01:45.000,7546.59226294508,6.118474160299314e-05,-8.598792618386142e-06
23,2026-Jan-01 00:01:50.000,7546.592260767967,6.118400639909538e-05,-8.609387691649317e-06
