Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.041379108000001,0.0,-1.67673891256087e-07,-1.144092161908857e-06,0.0078235339031717,[0.],[-47.09271588],[-0.5698741],24961.05000035798,4286.402009661504,-4286.397766822769,-29247.452010019064
2,2026-Jan-01 00:00:05.000,0.021147319999727188,-0.0,-3.459713610005308e-08,-5.491783721060392e-09,-0.0002735326088312621,[-0.],[14.44394628],[-0.57091264],24946.74679628713,4267.489218446567,25296.5350258444,4015.4508411450033
3,2026-Jan-01 00:00:10.000,0.02117066899972997,-0.0,-3.4480801172513886e-08,-5.4712015871224344e-09,-0.0002728057665864219,[-0.],[14.40500714],[-0.57202568],24931.310418333338,4248.507911231013,25278.64539226354,4011.0600707476005
4,2026-Jan-01 00:00:15.000,0.022012733000337903,-0.0,-3.4368584980889135e-08,-5.4516081211616654e-09,-0.0002721224043299945,[-0.],[14.36600075],[-0.57320988],24914.763204264887,4229.454267492776,25259.651123184558,4006.7322898930943
5,2026-Jan-01 00:00:20.000,0.022030220000033296,-0.0,-3.425915733263012e-08,-5.432786808234326e-09,-0.00027147175745209,[-0.],[14.3269252],[-0.57445887],24897.127912192347,4210.324442368402,25239.573835724885,4002.469250741943
6,2026-Jan-01 00:00:25.000,0.022843117999855167,-0.0,-3.415140693562965e-08,-5.41455647760402e-09,-0.0002708447705778484,[-0.],[14.28777876],[-0.57577457],24878.427693919923,4191.114570227526,25218.435536168923,3998.2728601715603
7,2026-Jan-01 00:00:30.000,0.023670660000334465,-0.0,-3.404424025426683e-08,-5.3967390516152346e-09,-0.00027023250403944275,[-0.],[14.24855968],[-0.57715151],24858.68606782862,4171.820768304479,25196.258588713503,3994.1450202656106
8,2026-Jan-01 00:00:35.000,0.02210358100001031,-0.0,-3.3936839081652685e-08,-5.379200408586118e-09,-0.0002696281771848145,[-0.],[14.20926635],[-0.57859788],24837.92689133915,4152.439140380826,25173.065690675896,3990.087731000746
9,2026-Jan-01 00:00:40.000,0.021869501999844942,-0.0,-3.382852939885908e-08,-5.3618293281456596e-09,-0.0002690261324701821,[-0.],[14.16989713],[-0.58010653],24816.17433300248,4132.965780514562,25148.879841707214,3986.1029699335586
10,2026-Jan-01 00:00:45.000,0.021775700000034703,-0.0,-3.3718792197524595e-08,-5.344539274936695e-09,-0.0002684219247944039,[-0.],[14.13045049],[-0.58168033],24793.45284426663,4113.396776811272,25123.72431823614,3982.192795190118
11,2026-Jan-01 00:00:50.000,0.022818476999873383,-0.0,-3.360732076595527e-08,-5.327277338538423e-09,-0.000267812782456844,[-0.],[14.09092492],[-0.58331047],24769.787130969467,4093.7282152327607,25097.62264343812,3978.3592774529893
12,2026-Jan-01 00:00:55.000,0.02434363399970607,-0.0,-3.34940121110771e-08,-5.310022901806988e-09,-0.0002671975464133036,[-0.],[14.05131904],[-0.58500219],24745.202124606407,4073.9561834387105,25070.5985595154,3974.604537418466
13,2026-Jan-01 00:01:00.000,0.021348256999772275,-0.0,-3.3378826683713045e-08,-5.2927653648040145e-09,-0.0002665755583472564,[-0.],[14.01163147],[-0.58674007],24719.72295342201,4054.0767746567103,25042.67599824879,3970.930716693357
14,2026-Jan-01 00:01:05.000,0.021940649000043777,-0.0,-3.326197183467068e-08,-5.275533263335202e-09,-0.0002659481303563248,[-0.],[13.97186093],[-0.58853342],24693.37491337498,4034.0860915762223,25013.87905235908,3967.3399893933397
