Index,Time,Total Velo,dLat,dLon
1,2026-Jan-01 00:00:00.000,7546.592351670894,6.119221292717397e-05,359.9999915088788
2,2026-Jan-01 00:00:05.000,7546.592349530265,6.119219612321647e-05,-8.49136327474298e-06
3,2026-Jan-01 00:00:10.000,7546.592356649368,6.119214577371412e-05,-8.49208981890115e-06
4,2026-Jan-01 00:00:15.000,7546.59236376024,6.119206180932313e-05,-8.49330081109656e-06
5,2026-Jan-01 00:00:20.000,7546.592370890643,6.11919442117248e-05,-8.494996620811435e-06
6,2026-Jan-01 00:00:25.000,7546.59237799479,6.119179295360766e-05,-8.497177589106286e-06
7,2026-Jan-01 00:00:30.000,7546.5923850851495,6.11916080011099e-05,-8.499844113885047e-06
8,2026-Jan-01 00:00:35.000,7546.592392225568,6.11913893098226e-05,-8.50299696253387e-06
9,2026-Jan-01 00:00:40.000,7546.592399315524,6.119113683356048e-05,-8.506636788752076e-06
10,2026-Jan-01 00:00:45.000,7546.592406419731,6.119085051103923e-05,-8.510764359925815e-06
11,2026-Jan-01 00:00:50.000,7546.592413377144,6.119053027831001e-05,-8.515380557128083e-06
12,2026-Jan-01 00:00:55.000,7546.592420441717,6.119017606298627e-05,-8.520486659335802e-06
13,2026-Jan-01 00:01:00.000,7546.592427500747,6.11897877833556e-05,-8.526083632887094e-06
14,2026-Jan-01 00:01:05.000,7546.59243448783,6.118936535015607e-05,-8.532172785180592e-06
15,2026-Jan-01 00:01:10.000,7546.592441356492,6.118890866702031e-05,-8.538755565723477e-06
16,2026-Jan-01 00:01:15.000,7546.592448463354,6.118841763225191e-05,-8.545833395601221e-06
17,2026-Jan-01 00:01:20.000,7546.5924555122465,6.118789212639086e-05,-8.553407894851262e-06
18,2026-Jan-01 00:01:25.000,7546.592462056096,6.118733202953308e-05,-8.561480854041292e-06
19,2026-Jan-01 00:01:30.000,7546.592468961006,6.118673721999812e-05,-8.570054035317298e-06
20,2026-Jan-01 00:01:35.000,7546.592476040286,6.118610755478926e-05,-8.579129456620649e-06
21,2026-Jan-01 00:01:40.000,7546.5924827106255,6.118544289090977e-05,-8.588709192736133e-06
22,2026-Jan-01 00:01:45.000,7546.5924895154885,6.118474307115207e-05,-8.598795517400504e-06
23,2026-Jan-01 00:01:50.000,7546.592495847085,6.118400793209133e-05,-8.60939053382026e-06
24,2026-Jan-01 00:01:55.000,7546.5925026794175,6.118323731296726e-05,-8.620496942057798e-06
25,2026-Jan-01 00:02:00.000,7546.592509338986,6.118243102637422e-05,-8.63211712953671e-06
26,2026-Jan-01 00:02:05.000,7546.592516111726,6.11815888866829e-05,-8.64425376789768e-06
27,2026-Jan-01 00:02:10.000,7546.5925222995065,6.118071069494135e-05,-8.656909812998492e-06
28,2026-Jan-01 00:02:15.000,7546.592528648065,6.1179796244204e-05,-8.670088050166669e-06
29,2026-Jan-01 00:02:20.000,7546.592535192645,6.117884533551887e-05,-8.683791662633666e-06
30,2026-Jan-01 00:02:25.000,7546.592541489525,6.117785772374873e-05,-8.698023805209232e-06
31,2026-Jan-01 00:02:30.000,7546.592548085178,6.117683319217804e-05,-8.712787803233368e-06
32,2026-Jan-01 00:02:35.000,7546.59255453442,6.117577149034048e-05,-8.728087067311208e-06
33,2026-Jan-01 00:02:40.000,7546.592560571294,6.117467236776974e-05,-8.743925206999847e-06
34,2026-Jan-01 00:02:45.000,7546.592567145524,6.117353556867045e-05,-8.76030608765177e-06
35,2026-Jan-01 00:02:50.000,7546.592573033396,6.117236081593092e-05,-8.777233347245783e-06
36,2026-Jan-01 00:02:55.000,7546.592579280638,6.117114783243949e-05,-8.794711192194882e-06
37,2026-Jan-01 00:03:00.000,7546.592585609971,6.116989633575542e-05,-8.812743658381805e-06
38,2026-Jan-01 00:03:05.000,7546.592592386156,6.116860602034535e-05,-8.831335037484678e-06
39,2026-Jan-01 00:03:10.000,7546.592597796567,6.116727655935961e-05,-8.850489820133589e-06
40,2026-Jan-01 00:03:15.000,7546.592604319675,6.116590765792296e-05,-8.870212553802048e-06
41,2026-Jan-01 00:03:20.000,7546.5926098748405,6.116449896254039e-05,-8.890508070180658e-06
42,2026-Jan-01 00:03:25.000,7546.592616376934,6.116305015169132e-05,-8.911381087273185e-06
43,2026-Jan-01 00:03:30.000,7546.592622383195,6.116156085766988e-05,-8.932836777830744e-06
44,2026-Jan-01 00:03:35.000,7546.592628200706,6.116003071987564e-05,-8.954880371447871e-06
45,2026-Jan-01 00:03:40.000,7546.592634053696,6.115845936349729e-05,-8.97751712614081e-06
46,2026-Jan-01 00:03:45.000,7546.592640029032,6.115684639773633e-05,-9.000752612564611e-06
47,2026-Jan-01 00:03:50.000,7546.592645465539,6.115519142824155e-05,-9.024592571904577e-06
48,2026-Jan-01 00:03:55.000,7546.592650846048,6.115349403934545e-05,-9.049042887454561e-06
49,2026-Jan-01 00:04:00.000,7546.592658013636,6.11517538242623e-05,-9.074109442508416e-06
50,2026-Jan-01 00:04:05.000,7546.592662779495,6.114997032113934e-05,-9.099798631950762e-06
51,2026-Jan-01 00:04:10.000,7546.592668335849,6.11481431000982e-05,-9.126116793822803e-06
52,2026-Jan-01 00:04:15.000,7546.5926752911755,6.11462717117206e-05,-9.153070493539417e-06
53,2026-Jan-01 00:04:20.000,7546.592680423878,6.11443556479685e-05,-9.180666495467449e-06
54,2026-Jan-01 00:04:25.000,7546.592685541008,6.114239444343639e-05,-9.20891170608229e-06
55,2026-Jan-01 00:04:30.000,7546.592689784506,6.114038759008622e-05,-9.237813401341555e-06
56,2026-Jan-01 00:04:35.000,7546.592696326558,6.113833459053808e-05,-9.267378800359438e-06
57,2026-Jan-01 00:04:40.000,7546.592701545313,6.113623489767406e-05,-9.297615548575777e-06
58,2026-Jan-01 00:04:45.000,7546.592707423048,6.113408798213982e-05,-9.328531291430409e-06
59,2026-Jan-01 00:04:50.000,7546.5927121285295,6.113189326129032e-05,-9.36013415753223e-06
60,2026-Jan-01 00:04:55.000,7546.592717208168,6.112965018445493e-05,-9.392432161803299e-06
61,2026-Jan-01 00:05:00.000,7546.592722367243,6.112735815477777e-05,-9.425433802334737e-06
62,2026-Jan-01 00:05:05.000,7546.592727557969,6.11250165682975e-05,-9.459147690904501e-06
63,2026-Jan-01 00:05:10.000,7546.592731955899,6.112262481039465e-05,-9.493582723507643e-06
64,2026-Jan-01 00:05:15.000,7546.592737653613,6.112018223802806e-05,-9.528747767717505e-06
65,2026-Jan-01 00:05:20.000,7546.592742002278,6.111768818328756e-05,-9.564652430071874e-06
66,2026-Jan-01 00:05:25.000,7546.592746917635,6.111514199957924e-05,-9.60130617499999e-06
67,2026-Jan-01 00:05:30.000,7546.59275171891,6.111254299412394e-05,-9.638718864835027e-06
68,2026-Jan-01 00:05:35.000,7546.5927564114845,6.110989043861537e-05,-9.676900475596995e-06
69,2026-Jan-01 00:05:40.000,7546.592760008862,6.110718361895806e-05,-9.715861438053253e-06
70,2026-Jan-01 00:05:45.000,7546.592765615905,6.110442181039843e-05,-9.755612268236291e-06
71,2026-Jan-01 00:05:50.000,7546.5927702535,6.110160422423405e-05,-9.796164022191078e-06
72,2026-Jan-01 00:05:55.000,7546.592773728366,6.10987300788679e-05,-9.837527727540873e-06
73,2026-Jan-01 00:06:00.000,7546.59277821932,6.109579857849212e-05,-9.879714923499705e-06
74,2026-Jan-01 00:06:05.000,7546.592782458258,6.109280889532442e-05,-9.922737348233568e-06
75,2026-Jan-01 00:06:10.000,7546.59278707665,6.108976018026624e-05,-9.966607024125551e-06
76,2026-Jan-01 00:06:15.000,7546.5927899211965,6.108665156290272e-05,-1.0011336257775838e-05
77,2026-Jan-01 00:06:20.000,7546.59279531529,6.1083482172819e-05,-1.0056937867375382e-05
78,2026-Jan-01 00:06:25.000,7546.592798428443,6.108025106854598e-05,-1.0103424813223683e-05
79,2026-Jan-01 00:06:30.000,7546.592802166603,6.10769573334835e-05,-1.0150810396680754e-05
80,2026-Jan-01 00:06:35.000,7546.592805788672,6.107359997997719e-05,-1.019910834543225e-05
81,2026-Jan-01 00:06:40.000,7546.592809618725,6.107017805589976e-05,-1.0248332671380922e-05
82,2026-Jan-01 00:06:45.000,7546.5928141972045,6.106669053096425e-05,-1.0298497841176868e-05
83,2026-Jan-01 00:06:50.000,7546.592815413032,6.106313634290927e-05,-1.0349618577265574e-05
84,2026-Jan-01 00:06:55.000,7546.592819290572,6.105951447921143e-05,-1.0401709943153037e-05
85,2026-Jan-01 00:07:00.000,7546.592822540803,6.105582381010777e-05,-1.0454787656044573e-05
86,2026-Jan-01 00:07:05.000,7546.592826348061,6.105206323425705e-05,-1.0508867518410625e-05
87,2026-Jan-01 00:07:10.000,7546.592827980467,6.104823157571104e-05,-1.0563965929577535e-05
88,2026-Jan-01 00:07:15.000,7546.592830969861,6.104432767273238e-05,-1.0620099658353865e-05
89,2026-Jan-01 00:07:20.000,7546.592834573333,6.104035032095112e-05,-1.0677285928295532e-05
90,2026-Jan-01 00:07:25.000,7546.592837535259,6.103629826625934e-05,-1.0735542389284092e-05
91,2026-Jan-01 00:07:30.000,7546.592840135613,6.103217023323282e-05,-1.0794887089105032e-05
92,2026-Jan-01 00:07:35.000,7546.592842785723,6.102796492513107e-05,-1.0855338700821449e-05
93,2026-Jan-01 00:07:40.000,7546.592845457376,6.102368098837019e-05,-1.091691629540037e-05
94,2026-Jan-01 00:07:45.000,7546.5928475611045,6.101931704804997e-05,-1.0979639313291045e-05
95,2026-Jan-01 00:07:50.000,7546.592849596604,6.101487168663766e-05,-1.104352796232888e-05
96,2026-Jan-01 00:07:55.000,7546.592851746384,6.101034345462608e-05,-1.1108602819831503e-05
97,2026-Jan-01 00:08:00.000,7546.592854815091,6.100573088474448e-05,-1.1174884946285601e-05
98,2026-Jan-01 00:08:05.000,7546.592856151536,6.1001032399587984e-05,-1.1242396141142308e-05
99,2026-Jan-01 00:08:10.000,7546.592857215365,6.0996246475042426e-05,-1.1311158573334978e-05
100,2026-Jan-01 00:08:15.000,7546.59286082281,6.0991371487517654e-05,-1.1381195207604833e-05
101,2026-Jan-01 00:08:20.000,7546.592863282847,6.098640577079095e-05,-1.1452529435018732e-05
102,2026-Jan-01 00:08:25.000,7546.5928643881425,6.098134762311247e-05,-1.1525185385607983e-05
103,2026-Jan-01 00:08:30.000,7546.592865367916,6.0976195296547075e-05,-1.15991878146815e-05
104,2026-Jan-01 00:08:35.000,7546.592867523611,6.0970947028948785e-05,-1.1674562017560675e-05
105,2026-Jan-01 00:08:40.000,7546.592868271971,6.096560094448478e-05,-1.1751334227483312e-05
106,2026-Jan-01 00:08:45.000,7546.592870115635,6.09601551602168e-05,-1.1829531160856277e-05
107,2026-Jan-01 00:08:50.000,7546.59287057198,6.095460776123218e-05,-1.1909180301472588e-05
108,2026-Jan-01 00:08:55.000,7546.592872190684,6.094895670827327e-05,-1.199030992893313e-05
109,2026-Jan-01 00:09:00.000,7546.59287344095,6.09431999833987e-05,-1.2072949090224938e-05
110,2026-Jan-01 00:09:05.000,7546.592875453837,6.093733545498026e-05,-1.2157127599721207e-05
111,2026-Jan-01 00:09:10.000,7546.59287525916,6.093136097717888e-05,-1.2242876067602992e-05
112,2026-Jan-01 00:09:15.000,7546.592876468741,6.092527433310124e-05,-1.2330225985124343e-05
113,2026-Jan-01 00:09:20.000,7546.592877874051,6.091907319216716e-05,-1.2419209724612301e-05
114,2026-Jan-01 00:09:25.000,7546.592876699131,6.091275521669104e-05,-1.250986048262348e-05
115,2026-Jan-01 00:09:30.000,7546.592878454674,6.0906318019249284e-05,-1.2602212535739454e-05
116,2026-Jan-01 00:09:35.000,7546.592879376572,6.0899759098731465e-05,-1.269630092792795e-05
117,2026-Jan-01 00:09:40.000,7546.592879789643,6.0893075868762025e-05,-1.2792161868446783e-05
118,2026-Jan-01 00:09:45.000,7546.592880484568,6.088626572875455e-05,-1.288983239078334e-05
119,2026-Jan-01 00:09:50.000,7546.592880323554,6.0879325957330366e-05,-1.2989350778980224e-05
120,2026-Jan-01 00:09:55.000,7546.592882046428,6.0872253790478226e-05,-1.309075625499645e-05
121,2026-Jan-01 00:10:00.000,7546.592882119636,6.086504635050005e-05,-1.3194089291346245e-05
122,2026-Jan-01 00:10:05.000,7546.592881146438,6.085770066022178e-05,-1.3299391383725379e-05
123,2026-Jan-01 00:10:10.000,7546.592881759925,6.085021374246935e-05,-1.3406705335228253e-05
124,2026-Jan-01 00:10:15.000,7546.592881429336,6.0842582435327586e-05,-1.3516075142661066e-05
125,2026-Jan-01 00:10:20.000,7546.592882235143,6.0834803541354177e-05,-1.3627546053385231e-05
126,2026-Jan-01 00:10:25.000,7546.59288152424,6.082687374231455e-05,-1.3741164735847633e-05
127,2026-Jan-01 00:10:30.000,7546.592882040208,6.081878962049814e-05,-1.3856979109050371e-05
128,2026-Jan-01 00:10:35.000,7546.592882142432,6.0810547715561825e-05,-1.3975038598346146e-05
129,2026-Jan-01 00:10:40.000,7546.592881736018,6.080214434689424e-05,-1.4095394050173127e-05
130,2026-Jan-01 00:10:45.000,7546.59288083413,6.079357579835687e-05,-1.4218097874163504e-05
131,2026-Jan-01 00:10:50.000,7546.592879809833,6.078483828275694e-05,-1.434320392945665e-05
132,2026-Jan-01 00:10:55.000,7546.59287989643,6.0775927806844265e-05,-1.4470767951024754e-05
133,2026-Jan-01 00:11:00.000,7546.592879701141,6.076684029920898e-05,-1.4600846924395228e-05
134,2026-Jan-01 00:11:05.000,7546.592878891589,6.075757155343808e-05,-1.4733500080410522e-05
135,2026-Jan-01 00:11:10.000,7546.592877595847,6.0748117270748025e-05,-1.48687881846854e-05
136,2026-Jan-01 00:11:15.000,7546.592878841065,6.0738472939192434e-05,-1.5006773793402317e-05
137,2026-Jan-01 00:11:20.000,7546.592876402869,6.072863397577066e-05,-1.5147521537528519e-05
138,2026-Jan-01 00:11:25.000,7546.59287634496,6.071859562695181e-05,-1.5291098122816038e-05
139,2026-Jan-01 00:11:30.000,7546.5928749613695,6.0708352975780144e-05,-1.543757215927144e-05
140,2026-Jan-01 00:11:35.000,7546.592875370965,6.069790100582395e-05,-1.5587014445372915e-05
141,2026-Jan-01 00:11:40.000,7546.592873705459,6.06872344377507e-05,-1.573949813860054e-05
142,2026-Jan-01 00:11:45.000,7546.592871836234,6.0676347914068174e-05,-1.589509852806259e-05
143,2026-Jan-01 00:11:50.000,7546.5928708259,6.066523587833217e-05,-1.6053893659773166e-05
144,2026-Jan-01 00:11:55.000,7546.592869861097,6.065389257514653e-05,-1.6215963597687733e-05
145,2026-Jan-01 00:12:00.000,7546.592868278975,6.064231205016313e-05,-1.6381391361619535e-05
146,2026-Jan-01 00:12:05.000,7546.592866535398,6.063048821403072e-05,-1.655026247249225e-05
147,2026-Jan-01 00:12:10.000,7546.59286517558,6.061841470739182e-05,-1.6722665350243915e-05
