Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.024793605999548163,0.0,-9.41481132597901e-09,-6.424024493743173e-08,0.002196439023660094,[0.00106493],[-9.41854318],[-0.5698741],24961.05000035798,4286.402009661504,-4286.397766822769,-29247.452010019064
2,2026-Jan-01 00:00:05.000,0.014989328000410751,0.0,3.764674627785561e-08,5.975864257555711e-09,0.0014882175064225955,[-0.00345726],[2.88878926],[-0.57091264],24946.746796301886,4267.489218445526,25296.53502622177,4015.450854304626
3,2026-Jan-01 00:00:10.000,0.014725187999829359,0.0,3.7488874873785085e-08,5.948504270921976e-09,0.00148302546639509,[-0.00345235],[2.88100144],[-0.57202568],24931.310418361092,4248.507911226693,25278.64539299674,4011.0600968852445
4,2026-Jan-01 00:00:15.000,0.01466975800030923,0.0,3.7334845601094526e-08,5.9221218516931e-09,0.0014780428050437814,[-0.00344789],[2.87320016],[-0.57320988],24914.76320430436,4229.454267483955,25259.651123560405,4006.7323026667545
5,2026-Jan-01 00:00:20.000,0.014869908000036958,0.0,3.718326415462235e-08,5.896489133571874e-09,0.001473212836123299,[-0.00344374],[2.86538505],[-0.57445887],24897.127912241984,4210.324442353791,25239.57383677747,4002.4692895618864
6,2026-Jan-01 00:00:25.000,0.015197808999801055,0.0,3.703290727178681e-08,5.8714058136812815e-09,0.001468485514005991,[-0.0034398],[2.85755576],[-0.57577457],24878.427693977657,4191.11457020578,25218.435536869536,3998.27288569176
7,2026-Jan-01 00:00:30.000,0.014883128000292345,0.0,3.688263782903082e-08,5.846685752617743e-09,0.0014638140697444835,[-0.00343596],[2.84971195],[-0.57715151],24858.6860678922,4171.820768274185,25196.258590046808,3994.1450717428293
8,2026-Jan-01 00:00:35.000,0.014876828000524256,0.0,3.67315050698933e-08,5.822172413892234e-09,0.0014591589884312658,[-0.00343213],[2.84185328],[-0.57859788],24837.926891406045,4152.439140340531,25173.065691342617,3990.087756065308
9,2026-Jan-01 00:00:40.000,0.015048077999381348,0.0,3.65788471414482e-08,5.79775532948101e-09,0.0014544921034552794,[-0.00342824],[2.83397944],[-0.58010653],24816.17433306966,4132.965780462749,25148.879842353075,3986.1029947896654
10,2026-Jan-01 00:00:45.000,0.014860107999993488,0.0,3.6424088127372405e-08,5.773337635531368e-09,0.0014497885609723903,[-0.00342423],[2.82609011],[-0.58168033],24793.452844330986,4113.396776746375,25123.724319456855,3982.1928458720363
11,2026-Jan-01 00:00:50.000,0.014953907000744948,0.0,3.6266981317565933e-08,5.748874448390539e-09,0.001445036521299124,[-0.00342007],[2.81818499],[-0.58331047],24769.787131027482,4093.728215153142,25097.622643447798,3978.3592758072004
12,2026-Jan-01 00:00:55.000,0.015423237000504741,0.0,3.610738319981824e-08,5.724337543238741e-09,0.0014402282065391965,[-0.00341576],[2.8102638],[-0.58500219],24745.202124654355,4073.95618334268,25070.598559226008,3974.6045225666458
13,2026-Jan-01 00:01:00.000,0.014736067999365332,0.0,3.594539094965454e-08,5.6997366194922185e-09,0.001435365411899659,[-0.0034113],[2.8023263],[-0.58674007],24719.722953455832,4054.076774542516,25042.67599849853,3970.9307276317913
14,2026-Jan-01 00:01:05.000,0.014698317999318533,0.0,3.578116200921551e-08,5.6750908716392975e-09,0.001430452347389374,[-0.00340669],[2.7943722],[-0.58853342],24693.37491339044,4034.0860914420673,25013.879053375942,3967.3400389719645
15,2026-Jan-01 00:01:10.000,0.014771077000659716,0.0,3.5615151173162595e-08,5.650466718355662e-09,0.0014255051444567188,[-0.00340198],[2.78640129],[-0.59038032],24666.18343901746,4013.9802501059235,24984.23194869357,3963.8346731531014
16,2026-Jan-01 00:01:15.000,0.014357138999912422,0.0,3.544779815739712e-08,5.625928238939001e-09,0.001420539412143423,[-0.00339719],[2.77841332],[-0.59228485],24638.17407435415,3993.755383902064,24953.759011804297,3960.4168605573227
17,2026-Jan-01 00:01:20.000,0.01472917699993559,0.0,3.527975416575562e-08,5.601573220479725e-09,0.001415579332060452,[-0.00339241],[2.7704081],[-0.59423495],24609.37244375097,3973.407647440537,24922.484644081396,3957.088870693197
18,2026-Jan-01 00:01:25.000,0.015175278000242542,0.0,3.5111651662772055e-08,5.577496716998525e-09,0.00141064847087101,[-0.00338766],[2.76238546],[-0.59623327],24579.804222832143,3952.9332205180517,24890.433292067613,3953.8530202033103
19,2026-Jan-01 00:01:30.000,0.014716437999595655,0.0,3.494417984133381e-08,5.55380298527174e-09,0.0014057728214887733,[-0.00338303],[2.75434522],[-0.59828624],24549.495109547654,3932.3283120642263,24857.6294171959,3950.7115946302238
