Index,Time,Distance,Latitude,Longitude,Altitude,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly,"Semi-Major Axis, a",f,g,h,k,L
1,2026-Jan-01 00:00:00.000,0.0,0.0,-180.0,620.862999999999,6998999.999999999,0.0,0.0,6999000.0,0.0,97.9,0.0,0.0,0.0,6999000.0,0.0,0.0,1.1483429368947748,0.0,0.0
2,2026-Jan-01 00:00:05.000,0.0005677955600907436,0.3059610372756013,179.93665366723232,620.8636128780684,6998898.287400996,-5186.1641144063,37374.6747261503,6998999.969129513,4.4106996620520695e-09,97.89999913782447,0.0,180.0,-179.69110737858517,6998999.969129513,-4.4106996620520695e-09,0.0,1.1483429194491699,0.0,0.005391193278805016
3,2026-Jan-01 00:00:10.000,0.0011401411630261647,0.6119219058757607,179.8733049131146,620.8654514399116,6998593.152561101,-10372.17748055089,74748.26307909963,6998999.965565787,4.919869573279e-09,97.89999913550905,-1.2602549885802316e-11,-179.96803164758344,180.58581688973018,6998999.965565787,-4.919868807472892e-09,-2.7450558745537854e-12,1.148342919402319,-2.525849032993991e-13,0.010782386545471069
4,2026-Jan-01 00:00:15.000,0.0017169392299839156,0.9178824383567283,179.8099513155608,620.868515468494,6998084.604349076,-15557.88937762539,112119.6788723506,6998999.962015844,5.427052729785266e-09,97.8999991332036,-3.770009353521835e-11,-179.9132827032926,180.839960566091,6998999.962015844,-5.427046513940509e-09,-8.21385389877842e-12,1.1483429193556693,-7.555990308209254e-13,0.016173579810518687
5,2026-Jan-01 00:00:20.000,0.0022970804355442096,1.2238424666017158,179.74659045147314,620.8728046021909,6997372.657545869,-20743.149083471402,149487.83590967875,6998999.958479267,5.932300549230795e-09,97.89999913090773,-7.519146307925277e-11,-179.84173965300434,181.07731013637465,6998999.958479267,-5.93227791885135e-09,-1.6385966943909137e-11,1.1483429193092138,-1.5070147391893819e-12,0.02156477307395681
6,2026-Jan-01 00:00:25.000,0.0028804107219719526,1.5298018223791476,179.6832198961114,620.8783183348393,6996457.332844195,-25927.805889073163,186851.64808957407,6998999.954955774,6.435646495339468e-09,97.89999912862122,-1.2497990370837294e-10,-179.7574720817382,181.3019351856009,6998999.954955774,-6.435588839971359e-09,-2.7241435558232674e-11,1.1483429192629475,-2.5048928331781447e-12,0.026955966335794283
7,2026-Jan-01 00:00:30.000,0.00346692919870322,1.835760337304318,179.61983722254413,620.8850560157923,6995338.65684792,-31111.709102937883,224210.02943680916,6998999.9514452005,6.937108579165445e-09,97.89999912634384,-1.8697148097159829e-10,-179.66334473457349,181.51670045884964,6998999.9514452005,-6.936988829914786e-09,-4.0760431404792924e-11,1.1483429192168666,-3.747350644216333e-12,0.032347159596039954
8,2026-Jan-01 00:00:35.000,0.00405667995970827,2.1417178428009715,179.5564400010992,620.8930168499984,6994016.662071291,-36294.70805547563,261561.89413400268,6998999.947947491,7.436689509454149e-09,97.89999912407555,-2.610734854781378e-10,-179.56143457454473,181.72368291915578,6998999.947947491,-7.436471652689451e-09,-5.6922919563312667e-11,1.1483429191709689,-5.232530056836921e-12,0.03773835285470273
9,2026-Jan-01 00:00:40.000,0.0046497224672152025,2.447674170062794,179.49302579881225,620.9021998981024,6992491.386937999,-41476.65210337883,298906.1565531796,6998999.944462676,7.934380239250855e-09,97.89999912181626,-3.4719346650717834e-10,-179.45328547907215,181.9244264439399,6998999.944462676,-7.934019032655808e-09,-7.570845705635713e-11,1.1483429191252534,-6.958578139931489e-12,0.04312954611179165
10,2026-Jan-01 00:00:45.000,0.005246119559981528,2.753629150014785,179.42959217887466,620.9126040765661,6990762.875780055,-46657.390634000476,336241.7312873243,6998999.940990854,8.430162351193671e-09,97.89999911956596,-4.452384820922295e-10,-179.34007009246156,182.12010367750827,6998999.940990854,-8.429603171363792e-09,-9.709603914005561e-11,1.14834291907972,-8.923632116667035e-12,0.04852073936731594
