Index,Time,Distance,Latitude,Longitude,Altitude,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly,"Semi-Major Axis, a",f,g,h,k,L
1,2026-Jan-01 00:00:00.000,0.0,0.0,-180.0,620.862999999999,6998999.999999999,0.0,0.0,6999000.0,0.0,97.9,0.0,0.0,0.0,6999000.0,0.0,0.0,1.1483429368947748,0.0,0.0
2,2026-Jan-01 00:00:05.000,3.8384147111325616e-06,0.30596103664104857,179.93665366265932,620.8636128783952,6998898.287401326,-5186.164673013111,37374.674648639,6998999.991711866,1.1841882734861719e-09,97.89999999417437,0.0,180.0,-179.69110737858517,6998999.991711866,-1.1841882734861719e-09,0.0,1.1483429367768965,0.0,0.005391193278805016
3,2026-Jan-01 00:00:10.000,2.358664412518669e-05,0.6119219050983212,179.87330490388652,620.8654514412684,6998593.152561806,-10372.178607754837,74748.26298415102,6998999.9916965375,1.1863783703312186e-09,97.89999999437207,1.0760445720279376e-12,-179.9994297676785,180.6172150103254,6998999.9916965375,-1.1863783702724627e-09,-1.1807349500092101e-14,1.1483429367808968,2.1566478272061304e-14,0.010782386554439485
4,2026-Jan-01 00:00:15.000,4.609263044569739e-05,0.9178824375119432,179.80995130165292,620.8685154716941,6998084.604350162,-15557.891076341306,112119.67876922002,6998999.9916813215,1.1885523266905623e-09,97.89999999456873,3.216975776551442e-12,-179.99830078897807,180.9249786528569,6998999.9916813215,-1.18855232616788e-09,-3.524869081715784e-14,1.1483429367848763,6.44758033175445e-14,0.016173579830089747
5,2026-Jan-01 00:00:20.000,6.871925678069479e-05,1.223842465764725,179.74659043286067,620.8728046081495,6997372.657547285,-20743.151356585695,149487.8358075865,6998999.991666215,1.1907104929470084e-09,97.89999999476439,6.412011008340005e-12,-179.9966241171905,181.23219460230112,6998999.991666215,-1.1907104908801742e-09,-7.015698405205963e-14,1.1483429367888354,1.2851186622495065e-13,0.021564773105756004
6,2026-Jan-01 00:00:25.000,9.139259358901709e-05,1.5298018216246918,179.68321987276934,620.8783183445717,6996457.332845836,-25927.80873944403,186851.64799770617,6998999.991651215,1.1928531296287923e-09,97.89999999495905,1.0650574467050052e-11,-179.9944104738732,181.5388735802155,6998999.991651215,-1.19285312395254e-09,-1.1636954401055374e-13,1.148342936792774,2.1346270294184238e-13,0.026955966381438462
7,2026-Jan-01 00:00:30.000,0.00011409391990482005,1.8357603367067343,179.61983719444737,620.8850560304187,6995338.656849634,-31111.712533395537,224210.0293643174,6998999.99163632,1.1949804239061641e-09,97.8999999951527,1.592216760988995e-11,-179.99167032667452,181.84502605424842,6998999.99163632,-1.1949804112779636e-09,-1.7372652279171715e-13,1.1483429367966926,3.19117897839847e-13,0.032347159657137324
8,2026-Jan-01 00:00:35.000,0.00013682051412996265,2.1417178424341867,179.55643996822235,620.8930168707371,6994016.662072875,-36294.71206882233,261561.89409000456,6998999.99162153,1.1970924905241126e-09,97.89999999534537,2.2216232639941923e-11,-179.9884139685348,182.1506623173402,6998999.99162153,-1.1970924660491603e-09,-2.4206933411004146e-13,1.148342936800591,4.452658476977514e-13,0.0377383529328528
9,2026-Jan-01 00:00:40.000,0.00015956940979539424,2.4476741700003157,179.49302576112984,620.9021999262823,6992491.386939201,-41476.656702388806,298906.15654675796,6998999.991606843,1.1991893924283306e-09,97.89999999553703,2.952208532987214e-11,-179.98465155903827,182.45579252907515,6998999.991606843,-1.199189349401332e-09,-3.2123984634295415e-13,1.1483429368044693,5.916924153297679e-13,0.04312954620858509
10,2026-Jan-01 00:00:45.000,0.00018233900463015106,2.7536291503296937,179.42959213636087,620.9126041136068,6990762.875780572,-46657.395821419894,336241.73132752674,6998999.991592259,1.2012711477007418e-09,97.89999999572768,3.782884399609008e-11,-179.98039316667618,182.7604267579445,6998999.991592259,-1.201271077364251e-09,-4.110795412089013e-13,1.148342936808327,7.581795060596982e-13,0.04852073948433439
11,2026-Jan-01 00:00:50.000,0.00020512790357994165,3.059582614039448,179.3661366527076,620.9242282052152,6988831.1788359815,-51836.77884827869,373567.53327776626,6998999.991577778,1.2033377416016812e-09,97.89999999591731,4.7125397746489126e-11,-179.9756487898744,183.06457500237414,6998999.991577778,-1.2033376329207453e-09,-5.114291073682676e-13,1.1483429368121643,9.445044313305548e-13,0.0539119327601009
