Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.05279665399939404,-0.0,-7.007610756289218e-06,-1.2033735534838295e-06,0.028074183420713855,[0.0048908],[-94.18543176],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.023168297000665916,0.0,8.882824625006441e-07,-2.7989485960893176e-06,0.011602621440247532,[-0.01588216],[28.88789245],[-0.57091264],24946.746796296546,4267.489218448504,24123.41564795209,7655.87731251269
3,2026-Jan-01 00:00:10.000,0.0227958329996909,0.0,8.840338485354094e-07,-2.7916125764946223e-06,0.01157834052711812,[-0.01586422],[28.810014],[-0.57202568],24931.31041841001,4248.50791132609,24110.644957766348,7635.2379381559595
4,2026-Jan-01 00:00:15.000,0.02205983200110495,0.0,8.799175272764613e-07,-2.7845499032141664e-06,0.01155571945681786,[-0.01584861],[28.73200099],[-0.57320988],24914.76320438262,4229.454267676405,24096.72468788852,7614.562905966975
5,2026-Jan-01 00:00:20.000,0.021970028999930946,0.0,8.758986797127047e-07,-2.7776564994618243e-06,0.01153431441239886,[-0.01583474],[28.65384982],[-0.57445887],24897.127912318232,4210.32444263607,24081.678374190764,7593.851254576117
6,2026-Jan-01 00:00:25.000,0.022166404000017792,0.0,8.719472564933043e-07,-2.7708424852500696e-06,0.011513739739669397,[-0.01582207],[28.57555682],[-0.57577457],24878.42769401429,4191.114570574847,24065.529948565876,7573.102017315021
7,2026-Jan-01 00:00:30.000,0.021650249998856452,0.0,8.680347361778681e-07,-2.764022009182652e-06,0.01149362568390349,[-0.01581011],[28.49711862],[-0.57715151],24858.686067845356,4171.820768727211,24048.30368761347,7552.3143005564125
8,2026-Jan-01 00:00:35.000,0.02183341400086647,0.0,8.641381029442988e-07,-2.7571260574981115e-06,0.011473671571403532,[-0.01579845],[28.41853172],[-0.57859788],24837.926891225838,4152.439140874937,24030.024219708794,7531.4871753697225
9,2026-Jan-01 00:00:40.000,0.022052595000786823,0.0,8.602399956337943e-07,-2.750103063596285e-06,0.011453648496807082,[-0.01578677],[28.33979308],[-0.58010653],24816.17433270046,4132.965781076278,24010.716448675084,7510.619833266248
10,2026-Jan-01 00:00:45.000,0.021815146999870194,0.0,8.56325868900415e-07,-2.742910050541796e-06,0.011433362573402743,[-0.01577481],[28.26089968],[-0.58168033],24793.45284371122,4113.396777437096,23990.40556032558,7489.71147729079
11,2026-Jan-01 00:00:50.000,0.02188871299949824,0.0,8.523880408767644e-07,-2.7355257301670182e-06,0.011412709653476802,[-0.01576243],[28.18184843],[-0.58331047],24769.787130090062,4093.728215919522,23969.11700398563,7468.761291207389
12,2026-Jan-01 00:00:55.000,0.024273511000501458,0.0,8.484223405791766e-07,-2.727939915669693e-06,0.011391631479698652,[-0.01574954],[28.10263642],[-0.58500219],24745.202123326817,4073.9561841836085,23946.876446374088,7447.768496471941
13,2026-Jan-01 00:01:00.000,0.02427369299948623,0.0,8.444286956162932e-07,-2.7201554903840417e-06,0.011370124124963528,[-0.01573614],[28.02326112],[-0.58674007],24719.722951660406,4054.0767754573626,23923.70971933226,7426.732429088604
14,2026-Jan-01 00:01:05.000,0.02231505199961248,0.0,8.404103213416672e-07,-2.712185962520494e-06,0.011348228011827402,[-0.0157223],[27.94371998],[-0.58853342],24693.37491104419,4034.086092430708,23899.642831407575,7405.652410806083
15,2026-Jan-01 00:01:10.000,0.022955898000873276,0.0,8.363765710578746e-07,-2.7040647404384425e-06,0.011326067023072225,[-0.01570817],[27.86401069],[-0.59038032],24666.1834360326,4013.980251168792,23874.70191488376,7384.527827304038
16,2026-Jan-01 00:01:15.000,0.02167798499976925,0.0,8.323368885415345e-07,-2.6958257472723524e-06,0.011303767691010233,[-0.01569393],[27.78413088],[-0.59228485],24638.17407063809,3993.755385040206,23848.9132204682,7363.358052762206
17,2026-Jan-01 00:01:20.000,0.022054742999898735,0.0,8.283044933599594e-07,-2.6875153176697736e-06,0.011281509232405697,[-0.01567985],[27.70407864],[-0.59423495],24609.37243920665,3973.407648655649,23822.303047450336,7342.1425830214885
18,2026-Jan-01 00:01:25.000,0.022300007000012556,0.0,8.242932690393836e-07,-2.6791822292874554e-06,0.011259481999956505,[-0.01566618],[27.62385209],[-0.59623327],24579.804217357807,3952.9332218124882,23794.89775193748,7320.880916569411
19,2026-Jan-01 00:01:30.000,0.021699825998439337,0.0,8.203187124272342e-07,-2.6708807924752002e-06,0.011237900625109095,[-0.01565322],[27.54344943],[-0.59828624],24549.495103037505,3932.328313441092,23766.723710900158,7299.57257847945
20,2026-Jan-01 00:01:35.000,0.022577182000532048,0.0,8.163943295213437e-07,-2.662659077822087e-06,0.011216954663928793,[-0.01564125],[27.46286948],[-0.60038372],24518.470787727292,3911.5891655483183,23737.80725337689,7278.217252198445
21,2026-Jan-01 00:01:40.000,0.022818105999249383,0.0,8.125367532980794e-07,-2.654575688578368e-06,0.01119687921869339,[-0.0156306],[27.38211052],[-0.60253154],24486.756927856015,3890.712057154052,23708.174721993128,7256.81448757199
22,2026-Jan-01 00:01:45.000,0.023154446000262396,0.0,8.087578667727405e-07,-2.6466739045701076e-06,0.01117784615040522,[-0.01562151],[27.30117185],[-0.6047221],24454.379116456817,3869.6933082165774,23677.85232465523,7235.364093317937
23,2026-Jan-01 00:01:50.000,0.022590907999983756,0.0,8.050707988689056e-07,-2.6390013245538526e-06,0.011160046755897365,[-0.01561426],[27.22005252],[-0.6069574],24421.36285511175,3848.529283542537,23646.86620295126,7213.865824025133
24,2026-Jan-01 00:01:55.000,0.022461403999841423,0.0,8.014842442872103e-07,-2.6315912096071254e-06,0.01114361295780694,[-0.01560905],[27.13875176],[-0.60923027],24387.733526225547,3827.216396677513,23615.242377594397,7192.319468756407
25,2026-Jan-01 00:02:00.000,0.022047677999580628,0.0,7.980051449036298e-07,-2.6244711302513165e-06,0.011128653633022269,[-0.01560602],[27.05726933],[-0.61154886],24353.516365667692,3805.7511137731644,23583.006685226257,7170.7249701409855
26,2026-Jan-01 00:02:05.000,0.022348373000568245,0.0,7.94639898365532e-07,-2.6176669665327344e-06,0.011115271444177816,[-0.01560535],[26.97560497],[-0.61390651],24318.736435821425,3784.1299574270474,23550.184803663695,7149.082254592753
27,2026-Jan-01 00:02:10.000,0.022035484998923494,0.0,7.913888886477807e-07,-2.611184806817623e-06,0.011103485861170744,[-0.01560705],[26.8937587],[-0.61630486],24283.418599076093,3762.349510491215,23516.802195867356,7127.391330458606
28,2026-Jan-01 00:02:15.000,0.021958530000119936,0.0,7.88251013021981e-07,-2.6050257482353937e-06,0.011093295605748186,[-0.01561116],[26.81173087],[-0.61873753],24247.587491798342,3740.406419845952,23482.884084379344,7105.652287977749
29,2026-Jan-01 00:02:20.000,0.022789438000472728,0.0,7.852231717333124e-07,-2.5991841676267246e-06,0.01108467112440124,[-0.01561762],[26.72952213],[-0.62120742],24211.267498815723,3718.297400134911,23448.45542512318,7083.865303001741
30,2026-Jan-01 00:02:25.000,0.023089566000635386,0.0,7.822983212625321e-07,-2.5936412418682812e-06,0.011077526687106178,[-0.01562634],[26.64713324],[-0.62370901],24174.48272844343,3696.0192374580784,23413.54090247583,7062.030571978649
31,2026-Jan-01 00:02:30.000,0.02203466199898685,0.0,7.794671774937398e-07,-2.5883704614252257e-06,0.011071743548829045,[-0.01563715],[26.56456538],[-0.62624499],24137.25698808611,3673.5687930191907,23378.16487538653,7040.148410736778
32,2026-Jan-01 00:02:35.000,0.022029924000889878,0.0,7.767186420501752e-07,-2.58333903345151e-06,0.011067175670218466,[-0.01564986],[26.48181979],[-0.62881317],24099.61376044041,3650.94300672403,23342.351386029044,7018.219148181666
33,2026-Jan-01 00:02:40.000,0.02182892900054867,0.0,7.740388384141445e-07,-2.5785045588357075e-06,0.011063635245043054,[-0.01566422],[26.39889837],[-0.63141191],24061.57618032766,3628.138900726681,23306.124087839748,6996.243289572877
34,2026-Jan-01 00:02:45.000,0.021585266998954467,0.0,7.71413295363316e-07,-2.5738223357287707e-06,0.01106092369764576,[-0.01567994],[26.31580286],[-0.63403761],24023.167012177706,3605.1535829200498,23269.506291563976,6974.221289741887
35,2026-Jan-01 00:02:50.000,0.02262313500068558,0.0,7.688255843193377e-07,-2.5692406892498133e-06,0.011058811498821928,[-0.01569671],[26.23253571],[-0.63669002],23984.408628189514,3581.984250368085,23232.520868300442,6952.153804242336
36,2026-Jan-01 00:02:55.000,0.021905438999965554,0.0,7.66258717755237e-07,-2.5647056772907033e-06,0.011057058146833347,[-0.0157142],[26.14909944],[-0.6393688],23945.322987187046,3558.6281926763327,23195.190286895744,6930.041495483021
37,2026-Jan-01 00:03:00.000,0.021815517999129952,0.0,7.636952114948714e-07,-2.5601612473152934e-06,0.011055412737265425,[-0.01573205],[26.06549688],[-0.64207215],23905.93161419041,3535.0827952981367,23157.536567454772,6907.8851205674
