Index,Time,Total Velo,dLat,dLon
1,2026-Jan-01 00:00:00.000,7546.592351670894,6.119221292717397e-05,359.9999915088788
2,2026-Jan-01 00:00:05.000,7546.592351672544,6.119219612416016e-05,-8.491363416851527e-06
3,2026-Jan-01 00:00:10.000,7546.592351664981,6.119214571798093e-05,-8.492089932587987e-06
4,2026-Jan-01 00:00:15.000,7546.592351673701,6.119206169763469e-05,-8.493300953205107e-06
5,2026-Jan-01 00:00:20.000,7546.592351617043,6.119194404319295e-05,-8.494996677654854e-06
6,2026-Jan-01 00:00:25.000,7546.592351676118,6.119179272889852e-05,-8.497177617527996e-06
7,2026-Jan-01 00:00:30.000,7546.5923516531375,6.119160771911325e-05,-8.499844199150175e-06
8,2026-Jan-01 00:00:35.000,7546.592351658094,6.11913889723148e-05,-8.50299701937729e-06
9,2026-Jan-01 00:00:40.000,7546.5923516052035,6.119113643876517e-05,-8.506636760330366e-06
10,2026-Jan-01 00:00:45.000,7546.592351559265,6.119085006028868e-05,-8.510764303082397e-06
11,2026-Jan-01 00:00:50.000,7546.592351638831,6.119052977382466e-05,-8.515380528706373e-06
12,2026-Jan-01 00:00:55.000,7546.592351702913,6.11901755021016e-05,-8.520486545648964e-06
13,2026-Jan-01 00:01:00.000,7546.592351758917,6.118978716873613e-05,-8.526083576043675e-06
14,2026-Jan-01 00:01:05.000,7546.59235158089,6.118936467824909e-05,-8.532172728337173e-06
15,2026-Jan-01 00:01:10.000,7546.592351600866,6.118890794049037e-05,-8.53875542361493e-06
16,2026-Jan-01 00:01:15.000,7546.592351651906,6.118841684799037e-05,-8.545833253492674e-06
17,2026-Jan-01 00:01:20.000,7546.59235158825,6.118789128795044e-05,-8.553407752742714e-06
18,2026-Jan-01 00:01:25.000,7546.592351615166,6.118733114046648e-05,-8.561480711932745e-06
19,2026-Jan-01 00:01:30.000,7546.592351530762,6.11867362740881e-05,-8.57005392163046e-06
20,2026-Jan-01 00:01:35.000,7546.592351565146,6.118610655558854e-05,-8.579129342933811e-06
21,2026-Jan-01 00:01:40.000,7546.592351703565,6.118544183841834e-05,-8.588708993784167e-06
22,2026-Jan-01 00:01:45.000,7546.592351605502,6.118474196625812e-05,-8.598795261605119e-06
23,2026-Jan-01 00:01:50.000,7546.592351857635,6.11840067810121e-05,-8.609390334868294e-06
24,2026-Jan-01 00:01:55.000,7546.592351609333,6.118323610504461e-05,-8.620496629418994e-06
25,2026-Jan-01 00:02:00.000,7546.592351542912,6.118242976693722e-05,-8.632116816897906e-06
26,2026-Jan-01 00:02:05.000,7546.592351457364,6.118158757217884e-05,-8.644253512102296e-06
27,2026-Jan-01 00:02:10.000,7546.59235140813,6.118070933158748e-05,-8.656909500359689e-06
28,2026-Jan-01 00:02:15.000,7546.592351639436,6.117979483732938e-05,-8.670087737527865e-06
29,2026-Jan-01 00:02:20.000,7546.592351657585,6.117884387180084e-05,-8.683791349994863e-06
30,2026-Jan-01 00:02:25.000,7546.592351597771,6.117785621562177e-05,-8.69802343572701e-06
31,2026-Jan-01 00:02:30.000,7546.592351343744,6.117683162898402e-05,-8.712787433751146e-06
32,2026-Jan-01 00:02:35.000,7546.592351630988,6.117576988096118e-05,-8.728086640985566e-06
33,2026-Jan-01 00:02:40.000,7546.592351300798,6.117467070865246e-05,-8.743924865939334e-06
34,2026-Jan-01 00:02:45.000,7546.592351371556,6.117353386159152e-05,-8.76030560448271e-06
35,2026-Jan-01 00:02:50.000,7546.592351746939,6.117235906799579e-05,-8.777232949341851e-06
36,2026-Jan-01 00:02:55.000,7546.59235191673,6.117114603831908e-05,-8.794710680604112e-06
37,2026-Jan-01 00:03:00.000,7546.5923516354405,6.116989449012067e-05,-8.812743203634454e-06
38,2026-Jan-01 00:03:05.000,7546.592351356898,6.116860411964353e-05,-8.831334554315617e-06
39,2026-Jan-01 00:03:10.000,7546.592351577019,6.116727461957794e-05,-8.85048930854282e-06
40,2026-Jan-01 00:03:15.000,7546.592351556146,6.116590567017965e-05,-8.870212042211278e-06
41,2026-Jan-01 00:03:20.000,7546.592352029731,6.116449694104631e-05,-8.89050750174647e-06
42,2026-Jan-01 00:03:25.000,7546.592351240723,6.116304807157746e-05,-8.911380547260705e-06
43,2026-Jan-01 00:03:30.000,7546.59235147574,6.116155873669982e-05,-8.932836209396555e-06
44,2026-Jan-01 00:03:35.000,7546.592351893989,6.1160028556273e-05,-8.954879746170263e-06
45,2026-Jan-01 00:03:40.000,7546.592351176478,6.115845715015666e-05,-8.977516500863203e-06
46,2026-Jan-01 00:03:45.000,7546.592351059946,6.11568441435395e-05,-9.000751987287003e-06
47,2026-Jan-01 00:03:50.000,7546.592351559228,6.115518913674123e-05,-9.02459194662697e-06
48,2026-Jan-01 00:03:55.000,7546.592351328585,6.115349170698892e-05,-9.049042176911826e-06
49,2026-Jan-01 00:04:00.000,7546.592351737223,6.115175145104956e-05,-9.07410876038739e-06
50,2026-Jan-01 00:04:05.000,7546.592351652418,6.11499679106231e-05,-9.099797921408026e-06
51,2026-Jan-01 00:04:10.000,7546.592352069961,6.114814065050211e-05,-9.126116054858358e-06
52,2026-Jan-01 00:04:15.000,7546.5923518083055,6.114626920883381e-05,-9.153069726153262e-06
53,2026-Jan-01 00:04:20.000,7546.592351363543,6.114435310244914e-05,-9.180665756503004e-06
54,2026-Jan-01 00:04:25.000,7546.592351186874,6.114239186416626e-05,-9.208910967117845e-06
55,2026-Jan-01 00:04:30.000,7546.5923515741315,6.114038498239438e-05,-9.237812577111981e-06
56,2026-Jan-01 00:04:35.000,7546.592351830251,6.113833194376639e-05,-9.267378004551574e-06
57,2026-Jan-01 00:04:40.000,7546.59235126846,6.11362322082698e-05,-9.297614667502785e-06
58,2026-Jan-01 00:04:45.000,7546.592351798743,6.113408525365571e-05,-9.328530467200835e-06
59,2026-Jan-01 00:04:50.000,7546.592351036067,6.113189049727907e-05,-9.360133304880947e-06
60,2026-Jan-01 00:04:55.000,7546.592351739999,6.112964738846927e-05,-9.392431309152016e-06
61,2026-Jan-01 00:05:00.000,7546.59235074415,6.112735531971225e-05,-9.425432892840035e-06
62,2026-Jan-01 00:05:05.000,7546.5923518451245,6.112501370836299e-05,-9.4591467814098e-06
63,2026-Jan-01 00:05:10.000,7546.592350870399,6.112262190782758e-05,-9.493581700326104e-06
64,2026-Jan-01 00:05:15.000,7546.592351171473,6.112017929993385e-05,-9.528746886644512e-06
65,2026-Jan-01 00:05:20.000,7546.592350798483,6.111768522032435e-05,-9.564651463733753e-06
66,2026-Jan-01 00:05:25.000,7546.592351716763,6.111513900819432e-05,-9.60130518024016e-06
67,2026-Jan-01 00:05:30.000,7546.592351435437,6.111253996721189e-05,-9.638717784810069e-06
68,2026-Jan-01 00:05:35.000,7546.592351640353,6.110988739038703e-05,-9.676899395572036e-06
69,2026-Jan-01 00:05:40.000,7546.592351709975,6.110718054941344e-05,-9.715860329606585e-06
70,2026-Jan-01 00:05:45.000,7546.592351855685,6.110441870177397e-05,-9.755611245054752e-06
71,2026-Jan-01 00:05:50.000,7546.592351565868,6.110160108363516e-05,-9.79616294216612e-06
72,2026-Jan-01 00:05:55.000,7546.59235182237,6.109872691695273e-05,-9.837526675937625e-06
73,2026-Jan-01 00:06:00.000,7546.592352002201,6.109579539881338e-05,-9.879713815053037e-06
74,2026-Jan-01 00:06:05.000,7546.592351603062,6.109280568722397e-05,-9.922736182943481e-06
75,2026-Jan-01 00:06:10.000,7546.592351612028,6.108975694729679e-05,-9.966605801992046e-06
76,2026-Jan-01 00:06:15.000,7546.592350644509,6.108664830861699e-05,-1.0011335064064042e-05
77,2026-Jan-01 00:06:20.000,7546.59235155858,6.10834789007697e-05,-1.0056936645241876e-05
78,2026-Jan-01 00:06:25.000,7546.592351440816,6.10802477751804e-05,-1.0103423534246758e-05
79,2026-Jan-01 00:06:30.000,7546.592352562097,6.107695402590707e-05,-1.015080911770383e-05
80,2026-Jan-01 00:06:35.000,7546.592351580832,6.107359665463719e-05,-1.0199107038033617e-05
81,2026-Jan-01 00:06:40.000,7546.592350546516,6.107017469503262e-05,-1.0248331335560579e-05
82,2026-Jan-01 00:06:45.000,7546.592352357841,6.10666871665444e-05,-1.0298496533778234e-05
83,2026-Jan-01 00:06:50.000,7546.592351509777,6.106313297493671e-05,-1.0349617184601811e-05
84,2026-Jan-01 00:06:55.000,7546.592351788371,6.105951108281715e-05,-1.0401708522067565e-05
85,2026-Jan-01 00:07:00.000,7546.59235102716,6.105582039950264e-05,-1.0454786234959101e-05
86,2026-Jan-01 00:07:05.000,7546.59235122064,6.105205980233563e-05,-1.0508866068903444e-05
87,2026-Jan-01 00:07:10.000,7546.5923526368715,6.104822815800048e-05,-1.0563964451648644e-05
88,2026-Jan-01 00:07:15.000,7546.5923516768,6.104432423370554e-05,-1.0620098180424975e-05
89,2026-Jan-01 00:07:20.000,7546.592352162238,6.104034687481885e-05,-1.0677284393523223e-05
90,2026-Jan-01 00:07:25.000,7546.592351184667,6.103629480946893e-05,-1.0735540854511783e-05
91,2026-Jan-01 00:07:30.000,7546.592351603737,6.103216676933698e-05,-1.0794885582754432e-05
92,2026-Jan-01 00:07:35.000,7546.592351969291,6.102796145768252e-05,-1.0855337194470849e-05
93,2026-Jan-01 00:07:40.000,7546.5923516983,6.1023677510263497e-05,-1.0916914675362932e-05
94,2026-Jan-01 00:07:45.000,7546.592350799696,6.101931355217971e-05,-1.0979637750097027e-05
95,2026-Jan-01 00:07:50.000,7546.592351437102,6.1014868194320115e-05,-1.1043526342291443e-05
96,2026-Jan-01 00:07:55.000,7546.592351097375,6.1010339962308535e-05,-1.1108601142950647e-05
97,2026-Jan-01 00:08:00.000,7546.592351271549,6.1005727385321507e-05,-1.1174883240983036e-05
98,2026-Jan-01 00:08:05.000,7546.592351817166,6.100102891792858e-05,-1.1242394435839742e-05
99,2026-Jan-01 00:08:10.000,7546.592351155724,6.099624298272488e-05,-1.1311156839610703e-05
100,2026-Jan-01 00:08:15.000,7546.592350622202,6.0991367973883825e-05,-1.1381193417037139e-05
101,2026-Jan-01 00:08:20.000,7546.592350781708,6.098640226426255e-05,-1.1452527672872748e-05
102,2026-Jan-01 00:08:25.000,7546.592351813862,6.098134413790035e-05,-1.152518359504029e-05
103,2026-Jan-01 00:08:30.000,7546.592350766262,6.097619180778224e-05,-1.1599185995692096e-05
104,2026-Jan-01 00:08:35.000,7546.59235106326,6.097094354728938e-05,-1.1674560198571271e-05
105,2026-Jan-01 00:08:40.000,7546.592350859423,6.0965597466378085e-05,-1.17513323800722e-05
106,2026-Jan-01 00:08:45.000,7546.592350508913,6.096015169987368e-05,-1.1829529228180036e-05
107,2026-Jan-01 00:08:50.000,7546.592350320246,6.0954604286678205e-05,-1.1909178368796347e-05
108,2026-Jan-01 00:08:55.000,7546.5923506463405,6.0948953255035576e-05,-1.1990307967835179e-05
109,2026-Jan-01 00:09:00.000,7546.592352016611,6.0943196551477286e-05,-1.2072947129126987e-05
110,2026-Jan-01 00:09:05.000,7546.592350810583,6.093733202305884e-05,-1.2157125553358128e-05
111,2026-Jan-01 00:09:10.000,7546.592350814583,6.0931357559468324e-05,-1.2242874021239913e-05
112,2026-Jan-01 00:09:15.000,7546.5923519688695,6.092527092249611e-05,-1.2330223910339555e-05
113,2026-Jan-01 00:09:20.000,7546.592350861534,6.091906978866746e-05,-1.2419207592984094e-05
114,2026-Jan-01 00:09:25.000,7546.592350898526,6.091275184871847e-05,-1.2509858379416983e-05
115,2026-Jan-01 00:09:30.000,7546.5923509124295,6.090631466548757e-05,-1.2602210318846119e-05
116,2026-Jan-01 00:09:35.000,7546.59235089713,6.089975575207518e-05,-1.2696298796299743e-05
117,2026-Jan-01 00:09:40.000,7546.592351355087,6.089307255052745e-05,-1.2792159623131738e-05
118,2026-Jan-01 00:09:45.000,7546.592352100863,6.0886262438941685e-05,-1.2889830117046586e-05
119,2026-Jan-01 00:09:50.000,7546.592350230651,6.08793226675175e-05,-1.298934853366518e-05
120,2026-Jan-01 00:09:55.000,7546.592351360758,6.087225052198164e-05,-1.3090753981259695e-05
121,2026-Jan-01 00:10:00.000,7546.592351446862,6.086504309621432e-05,-1.3194086989187781e-05
122,2026-Jan-01 00:10:05.000,7546.59235012681,6.085769743435776e-05,-1.3299388996301786e-05
123,2026-Jan-01 00:10:10.000,7546.5923504230395,6.0850210530816184e-05,-1.3406702890961242e-05
124,2026-Jan-01 00:10:15.000,7546.592350748784,6.084257925209613e-05,-1.3516072698394055e-05
125,2026-Jan-01 00:10:20.000,7546.59235135918,6.0834800372333575e-05,-1.3627543552274801e-05
126,2026-Jan-01 00:10:25.000,7546.592350578493,6.082687059461023e-05,-1.3741162234737203e-05
127,2026-Jan-01 00:10:30.000,7546.592351950477,6.0818786529637237e-05,-1.3856976551096523e-05
128,2026-Jan-01 00:10:35.000,7546.592350911105,6.08105446175955e-05,-1.3975036068814006e-05
129,2026-Jan-01 00:10:40.000,7546.592350524725,6.080214127734962e-05,-1.4095391435375859e-05
130,2026-Jan-01 00:10:45.000,7546.592352927579,6.07935727927611e-05,-1.4218095230944527e-05
131,2026-Jan-01 00:10:50.000,7546.592351409945,6.078483529137202e-05,-1.4343201314659382e-05
132,2026-Jan-01 00:10:55.000,7546.592351506922,6.077592484388106e-05,-1.4470765222540649e-05
133,2026-Jan-01 00:11:00.000,7546.592350769054,6.0766837378878336e-05,-1.4600844224332832e-05
134,2026-Jan-01 00:11:05.000,7546.592350950558,6.075756866152915e-05,-1.4733497323504707e-05
135,2026-Jan-01 00:11:10.000,7546.59235092884,6.074811440015537e-05,-1.4868785342514457e-05
136,2026-Jan-01 00:11:15.000,7546.59235182428,6.073847011833777e-05,-1.5006770894387955e-05
137,2026-Jan-01 00:11:20.000,7546.59235161324,6.072863118333771e-05,-1.5147518638514157e-05
138,2026-Jan-01 00:11:25.000,7546.592352632794,6.071859288425685e-05,-1.5291095195379967e-05
139,2026-Jan-01 00:11:30.000,7546.592351488563,6.0708350254401466e-05,-1.543756908972682e-05
140,2026-Jan-01 00:11:35.000,7546.592350397308,6.069789829865613e-05,-1.5587011404250006e-05
141,2026-Jan-01 00:11:40.000,7546.592350405199,6.06872317874263e-05,-1.57394950122125e-05
142,2026-Jan-01 00:11:45.000,7546.592352282387,6.067634531348176e-05,-1.589509545851797e-05
143,2026-Jan-01 00:11:50.000,7546.59235173595,6.0665233306167465e-05,-1.605389047654171e-05
144,2026-Jan-01 00:11:55.000,7546.592350559489,6.0653890031403535e-05,-1.6215960329191148e-05
145,2026-Jan-01 00:12:00.000,7546.592350871268,6.064230957036898e-05,-1.638138803627953e-05
146,2026-Jan-01 00:12:05.000,7546.592350350895,6.063048576265828e-05,-1.6550259118730537e-05
147,2026-Jan-01 00:12:10.000,7546.592352258356,6.061841231996823e-05,-1.6722661968060493e-05
148,2026-Jan-01 00:12:15.000,7546.592351511654,6.060608266267309e-05,-1.689868781795667e-05
149,2026-Jan-01 00:12:20.000,7546.59235116181,6.0593490033511443e-05,-1.7078431056916088e-05
150,2026-Jan-01 00:12:25.000,7546.592351124363,6.0580627440742774e-05,-1.7261989000871836e-05
151,2026-Jan-01 00:12:30.000,7546.592350497198,6.05674876439366e-05,-1.7449462461627263e-05
152,2026-Jan-01 00:12:35.000,7546.5923502723435,6.0554063203710484e-05,-1.7640955405795467e-05
153,2026-Jan-01 00:12:40.000,7546.592351182294,6.054034636093775e-05,-1.7836575494811768e-05
154,2026-Jan-01 00:12:45.000,7546.592351648441,6.0526329114907185e-05,-1.803643385756004e-05
155,2026-Jan-01 00:12:50.000,7546.592351554,6.05120031806905e-05,-1.8240645687228607e-05
156,2026-Jan-01 00:12:55.000,7546.592352244496,6.049736001045858e-05,-1.8449329900249722e-05
157,2026-Jan-01 00:13:00.000,7546.59234967691,6.048239065137295e-05,-1.8662609704733768e-05
158,2026-Jan-01 00:13:05.000,7546.5923507991465,6.046708601559203e-05,-1.888061251520412e-05
159,2026-Jan-01 00:13:10.000,7546.592351518609,6.0451436553421445e-05,-1.9103470208392537e-05
160,2026-Jan-01 00:13:15.000,7546.592350607221,6.043543235989546e-05,-1.933131929376941e-05
161,2026-Jan-01 00:13:20.000,7546.592351815684,6.0419063288463803e-05,-1.9564301339869417e-05
162,2026-Jan-01 00:13:25.000,7546.592350521587,6.040231867388002e-05,-1.9802562576387572e-05
163,2026-Jan-01 00:13:30.000,7546.592351717684,6.0385187587996825e-05,-2.0046254860517365e-05
164,2026-Jan-01 00:13:35.000,7546.5923512348445,6.03676586479196e-05,-2.0295535449577073e-05
165,2026-Jan-01 00:13:40.000,7546.592350979712,6.034972000890093e-05,-2.0550567114696605e-05
166,2026-Jan-01 00:13:45.000,7546.592350660649,6.033135944960577e-05,-2.081151896504707e-05
167,2026-Jan-01 00:13:50.000,7546.592351863123,6.031256421579201e-05,-2.1078566021515144e-05
168,2026-Jan-01 00:13:55.000,7546.592352085988,6.0293321162419033e-05,-2.135189001251092e-05
169,2026-Jan-01 00:14:00.000,7546.592350989898,6.027361653337948e-05,-2.16316792887028e-05
170,2026-Jan-01 00:14:05.000,7546.592351247643,6.02534361604512e-05,-2.1918129505138495e-05
171,2026-Jan-01 00:14:10.000,7546.592351138551,6.0232765193291016e-05,-2.2211443450714796e-05
172,2026-Jan-01 00:14:15.000,7546.592351549236,6.021158831259754e-05,-2.2511832042937385e-05
173,2026-Jan-01 00:14:20.000,7546.5923514700735,6.0189889552475506e-05,-2.281951387317349e-05
174,2026-Jan-01 00:14:25.000,7546.592350490586,6.016765228622489e-05,-2.313471625825514e-05
175,2026-Jan-01 00:14:30.000,7546.592352491646,6.014485928318436e-05,-2.3457675268900857e-05
176,2026-Jan-01 00:14:35.000,7546.592352103195,6.012149257372812e-05,-2.378863624130645e-05
177,2026-Jan-01 00:14:40.000,7546.5923534686,6.009753347768765e-05,-2.4127854203470633e-05
178,2026-Jan-01 00:14:45.000,7546.592350799919,6.007296249777028e-05,-2.4475594244677268e-05
179,2026-Jan-01 00:14:50.000,7546.5923521343575,6.004775949008945e-05,-2.4832132197616374e-05
180,2026-Jan-01 00:14:55.000,7546.592352588024,6.0021903273366206e-05,-2.5197754808914397e-05
181,2026-Jan-01 00:15:00.000,7546.592351147442,5.999537190604087e-05,-2.557276067705061e-05
182,2026-Jan-01 00:15:05.000,7546.592352537513,5.996814252995364e-05,-2.5957460508152508e-05
183,2026-Jan-01 00:15:10.000,7546.592352194494,5.99401912495523e-05,-2.6352177741273408e-05
184,2026-Jan-01 00:15:15.000,7546.592350947452,5.991149318163025e-05,-2.675724925893519e-05
185,2026-Jan-01 00:15:20.000,7546.592350870543,5.988202237716678e-05,-2.717302598398419e-05
186,2026-Jan-01 00:15:25.000,7546.592351184747,5.985175176448365e-05,-2.7599873618555648e-05
187,2026-Jan-01 00:15:30.000,7546.5923506853205,5.982065307108542e-05,-2.8038173326194737e-05
188,2026-Jan-01 00:15:35.000,7546.592350974668,5.97886967739214e-05,-2.8488322527664423e-05
189,2026-Jan-01 00:15:40.000,7546.59235084353,5.9755852056753156e-05,-2.8950735696753327e-05
190,2026-Jan-01 00:15:45.000,7546.592351482916,5.972208672488932e-05,-2.9425845269770434e-05
191,2026-Jan-01 00:15:50.000,7546.592350723505,5.9687367105709654e-05,-2.991410249819637e-05
192,2026-Jan-01 00:15:55.000,7546.592350261496,5.965165800603245e-05,-3.041597835817811e-05
193,2026-Jan-01 00:16:00.000,7546.592351263612,5.961492261974399e-05,-3.093196477266247e-05
194,2026-Jan-01 00:16:05.000,7546.592350249038,5.957712245674429e-05,-3.146257554931253e-05
195,2026-Jan-01 00:16:10.000,7546.592350323807,5.9538217151100525e-05,-3.2008347432110895e-05
196,2026-Jan-01 00:16:15.000,7546.592351257939,5.949816458183932e-05,-3.256984152244513e-05
197,2026-Jan-01 00:16:20.000,7546.5923510550365,5.945692048925366e-05,-3.3147644444397883e-05
198,2026-Jan-01 00:16:25.000,7546.592350429033,5.941443854595718e-05,-3.3742369765832336e-05
199,2026-Jan-01 00:16:30.000,7546.592350981802,5.937067027161902e-05,-3.435465924894743e-05
200,2026-Jan-01 00:16:35.000,7546.592351478157,5.9325564620849036e-05,-3.4985184612423836e-05
201,2026-Jan-01 00:16:40.000,7546.592351685466,5.927906829583662e-05,-3.563464915146142e-05
202,2026-Jan-01 00:16:45.000,7546.592351303966,5.92311251494948e-05,-3.630378927255151e-05
203,2026-Jan-01 00:16:50.000,7546.592350832198,5.918167637730676e-05,-3.699337634088806e-05
204,2026-Jan-01 00:16:55.000,7546.592351838668,5.9130660154949055e-05,-3.770421869830898e-05
205,2026-Jan-01 00:17:00.000,7546.592350333683,5.907801148907765e-05,-3.843716388018947e-05
206,2026-Jan-01 00:17:05.000,7546.592350590928,5.9023662146273637e-05,-3.919310054811831e-05
207,2026-Jan-01 00:17:10.000,7546.592351743781,5.896754026935014e-05,-3.9972960877321384e-05
208,2026-Jan-01 00:17:15.000,7546.592352416106,5.890957029919264e-05,-4.077772291566362e-05
209,2026-Jan-01 00:17:20.000,7546.592351153929,5.8849672690541865e-05,-4.160841342581989e-05
210,2026-Jan-01 00:17:25.000,7546.592351290196,5.8787763755674405e-05,-4.2466110642180865e-05
211,2026-Jan-01 00:17:30.000,7546.592350693022,5.8723755188339055e-05,-4.335194699933709e-05
212,2026-Jan-01 00:17:35.000,7546.5923507806365,5.865755404954598e-05,-4.42671124858407e-05
213,2026-Jan-01 00:17:40.000,7546.5923505358105,5.858906214939452e-05,-4.521285794112373e-05
214,2026-Jan-01 00:17:45.000,7546.592351443649,5.851817616076005e-05,-4.6190498522946655e-05
