Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.04932866600029229,-0.0,-8.76303077830224e-10,-1.504820951635989e-10,3.510682056228987e-05,[0.],[-9.41854318],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.02581837199977599,-0.0,-1.4125907921898434e-09,4.451026759534835e-09,-0.00018451063584468442,[-0.],[2.88878926],[-0.57091264],24946.74679630276,4267.489218445455,24123.415645706064,7655.877319608395
3,2026-Jan-01 00:00:10.000,0.026351758000600967,-0.0,-1.407041499355866e-09,4.443172286544356e-09,-0.0001842825979727076,[-0.],[2.88100144],[-0.57202568],24931.310418362787,4248.5079112264675,24110.64493025214,7635.238024831023
4,2026-Jan-01 00:00:15.000,0.026555179998467793,-0.0,-1.4017155669531399e-09,4.435809898497136e-09,-0.00018408352019137514,[-0.],[2.87320016],[-0.57320988],24914.763204307492,4229.454267484063,24096.72464914633,7614.563028216224
5,2026-Jan-01 00:00:20.000,0.025988301998950192,-0.0,-1.3965567974170613e-09,4.4287713551688624e-09,-0.00018390625831344419,[-0.],[2.86538505],[-0.57445887],24897.127912247364,4210.324442354765,24081.678327773927,7593.8514013852255
6,2026-Jan-01 00:00:25.000,0.02558889700048894,-0.0,-1.3915178983131286e-09,4.421915165892919e-09,-0.00018374476635956737,[-0.],[2.85755577],[-0.57577457],24878.427693986272,4191.114570208171,24065.52988420764,7573.102221535324
7,2026-Jan-01 00:00:30.000,0.025794926999878953,-0.0,-1.386552552520286e-09,4.41510170605044e-09,-0.0001835930623874931,[-0.],[2.84971195],[-0.57715151],24858.68606790526,4171.820768278572,24048.303615808138,7552.3145291504325
8,2026-Jan-01 00:00:35.000,0.026099987000634428,-0.0,-1.381625478335836e-09,4.4082252942869434e-09,-0.00018344656131130316,[-0.],[2.84185329],[-0.57859788],24837.9268914249,4152.439140347517,24030.024126788187,7531.487472208651
9,2026-Jan-01 00:00:40.000,0.025568271999873105,-0.0,-1.3767076250223173e-09,4.401199308053964e-09,-0.00018330145776548914,[-0.],[2.83397943],[-0.58010653],24816.17433309593,4132.965780472967,24010.716345118963,7510.620165299717
10,2026-Jan-01 00:00:45.000,0.02603094299956865,-0.0,-1.3717760994096085e-09,4.3939560609186505e-09,-0.00018315472289070578,[-0.],[2.82609011],[-0.58168033],24793.452844366242,4113.396776760459,23990.40544283787,7489.711855414127
