Index,Time,Total Velo,dLat,dLon
1,2026-Jan-01 00:00:00.000,7546.592351670894,6.119221292717397e-05,359.9999915088788
2,2026-Jan-01 00:00:05.000,7546.592351467026,6.119219612266136e-05,-8.491363416851527e-06
3,2026-Jan-01 00:00:10.000,7546.592351502264,6.119214571698173e-05,-8.492089904166278e-06
4,2026-Jan-01 00:00:15.000,7546.592351572721,6.119206169741265e-05,-8.493300924783398e-06
5,2026-Jan-01 00:00:20.000,7546.592351632866,6.119194404408113e-05,-8.494996677654854e-06
6,2026-Jan-01 00:00:25.000,7546.592351736125,6.119179273023079e-05,-8.497177560684577e-06
7,2026-Jan-01 00:00:30.000,7546.592351786629,6.119160772155574e-05,-8.499844199150175e-06
8,2026-Jan-01 00:00:35.000,7546.592351823074,6.119138897453524e-05,-8.50299699095558e-06
9,2026-Jan-01 00:00:40.000,7546.592351816393,6.119113644231788e-05,-8.506636760330366e-06
10,2026-Jan-01 00:00:45.000,7546.5923518181935,6.11908500638414e-05,-8.510764274660687e-06
11,2026-Jan-01 00:00:50.000,7546.592351883106,6.11905297764892e-05,-8.515380557128083e-06
12,2026-Jan-01 00:00:55.000,7546.592352034231,6.119017550698658e-05,-8.520486574070674e-06
13,2026-Jan-01 00:01:00.000,7546.59235211836,6.118978717228885e-05,-8.526083576043675e-06
14,2026-Jan-01 00:01:05.000,7546.592351920251,6.118936468313407e-05,-8.532172699915463e-06
15,2026-Jan-01 00:01:10.000,7546.592352067151,6.118890794670762e-05,-8.53875539519322e-06
16,2026-Jan-01 00:01:15.000,7546.5923521155455,6.118841685598397e-05,-8.545833225070965e-06
17,2026-Jan-01 00:01:20.000,7546.592352259524,6.118789129505586e-05,-8.553407724321005e-06
18,2026-Jan-01 00:01:25.000,7546.592352379035,6.118733114934827e-05,-8.561480683511036e-06
19,2026-Jan-01 00:01:30.000,7546.592352153595,6.118673628208171e-05,-8.570053864787042e-06
20,2026-Jan-01 00:01:35.000,7546.592352401139,6.118610656713486e-05,-8.579129314512102e-06
21,2026-Jan-01 00:01:40.000,7546.592352414996,6.118544184907648e-05,-8.588708993784167e-06
22,2026-Jan-01 00:01:45.000,7546.592352511371,6.118474197602808e-05,-8.598795261605119e-06
23,2026-Jan-01 00:01:50.000,7546.592352624929,6.118400679167024e-05,-8.609390278024875e-06
24,2026-Jan-01 00:01:55.000,7546.592352353205,6.11832361139264e-05,-8.620496629418994e-06
25,2026-Jan-01 00:02:00.000,7546.592352486106,6.118242977759536e-05,-8.632116788476196e-06
26,2026-Jan-01 00:02:05.000,7546.592352601549,6.118158758905423e-05,-8.644253426837167e-06
27,2026-Jan-01 00:02:10.000,7546.592352526588,6.118070934579833e-05,-8.656909471937979e-06
28,2026-Jan-01 00:02:15.000,7546.592352635115,6.117979485154024e-05,-8.670087680684446e-06
29,2026-Jan-01 00:02:20.000,7546.592352856735,6.11788438895644e-05,-8.683791293151444e-06
30,2026-Jan-01 00:02:25.000,7546.592352921177,6.117785622983263e-05,-8.69802337888359e-06
31,2026-Jan-01 00:02:30.000,7546.592353028933,6.117683164852394e-05,-8.712787376907727e-06
32,2026-Jan-01 00:02:35.000,7546.592352763918,6.117576989339568e-05,-8.728086640985566e-06
33,2026-Jan-01 00:02:40.000,7546.5923530272485,6.117467072996874e-05,-8.743924809095915e-06
34,2026-Jan-01 00:02:45.000,7546.5923532465895,6.11735338829078e-05,-8.760305576061e-06
35,2026-Jan-01 00:02:50.000,7546.5923533281475,6.117235908753571e-05,-8.777232892498432e-06
36,2026-Jan-01 00:02:55.000,7546.5923529588335,6.117114605608265e-05,-8.794710680604112e-06
37,2026-Jan-01 00:03:00.000,7546.59235301215,6.116989450788424e-05,-8.812743146791036e-06
38,2026-Jan-01 00:03:05.000,7546.592353416585,6.116860414451253e-05,-8.831334469050489e-06
39,2026-Jan-01 00:03:10.000,7546.592353427797,6.116727464444693e-05,-8.85048930854282e-06
40,2026-Jan-01 00:03:15.000,7546.592353192102,6.116590569149594e-05,-8.870212013789569e-06
41,2026-Jan-01 00:03:20.000,7546.592353418963,6.116449695880988e-05,-8.89050744490305e-06
42,2026-Jan-01 00:03:25.000,7546.592353279909,6.116304809644646e-05,-8.911380490417287e-06
43,2026-Jan-01 00:03:30.000,7546.592354131876,6.116155876512153e-05,-8.932836152553136e-06
44,2026-Jan-01 00:03:35.000,7546.59235389697,6.116002858291836e-05,-8.954879689326845e-06
45,2026-Jan-01 00:03:40.000,7546.59235359904,6.115845718035473e-05,-8.977516444019784e-06
46,2026-Jan-01 00:03:45.000,7546.592353898147,6.115684417729028e-05,-9.000751958865294e-06
47,2026-Jan-01 00:03:50.000,7546.592353949065,6.115518916516294e-05,-9.02459191820526e-06
48,2026-Jan-01 00:03:55.000,7546.592353026537,6.115349173008156e-05,-9.049042120068407e-06
49,2026-Jan-01 00:04:00.000,7546.592353856781,6.115175146703677e-05,-9.07410873196568e-06
50,2026-Jan-01 00:04:05.000,7546.59235463632,6.114996793904481e-05,-9.099797864564607e-06
51,2026-Jan-01 00:04:10.000,7546.592353885289,6.114814067537111e-05,-9.12611596959323e-06
52,2026-Jan-01 00:04:15.000,7546.59235426617,6.114626924080824e-05,-9.153069669309843e-06
53,2026-Jan-01 00:04:20.000,7546.592353797042,6.114435313797628e-05,-9.180665642816166e-06
54,2026-Jan-01 00:04:25.000,7546.592353982187,6.114239189258797e-05,-9.208910881852717e-06
55,2026-Jan-01 00:04:30.000,7546.592354221906,6.11403850143688e-05,-9.237812520268562e-06
56,2026-Jan-01 00:04:35.000,7546.592354131299,6.113833196863538e-05,-9.267377890864736e-06
57,2026-Jan-01 00:04:40.000,7546.592353888837,6.113623224024423e-05,-9.297614582237657e-06
