Index,Time,Distance,Latitude,Longitude,Altitude,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly,"Semi-Major Axis, a",f,g,h,k,L
1,2026-Jan-01 00:00:00.000,0.0,0.0,-180.0,620.862999999999,6998999.999999999,0.0,0.0,6999000.0,0.0,97.9,0.0,0.0,0.0,6999000.0,0.0,0.0,1.1483429368947748,0.0,0.0
2,2026-Jan-01 00:00:05.000,0.00015092868841368835,0.3059610368064689,179.93665366385144,620.8636128737647,6998898.287396694,-5186.164527387628,37374.67466882099,6998999.674108418,4.656259211002044e-08,97.89999977093417,0.0,180.0,-179.69110737858517,6998999.674108418,-4.656259211002044e-08,0.0,1.1483429322597654,0.0,0.005391193278805016
3,2026-Jan-01 00:00:10.000,0.0009946176453205452,0.6119218986727486,179.87330490856866,620.865451423022,6998593.152552844,-10372.178035823457,74748.26219908183,6998999.6934685875,4.3796500890440015e-08,97.89999952124289,-1.3590451249157643e-09,179.98049080950148,-179.36270557404964,6998999.6934685875,-4.379649835155689e-08,1.4912692161845225e-11,1.1483429272074117,-2.723847847460368e-11,0.010782386405123408
4,2026-Jan-01 00:00:15.000,0.0019496322820141132,0.9178824251049389,179.8099513110986,620.8685154313966,6998084.604336861,-15557.88992261396,112119.67725318634,6998999.712747917,4.104209906011207e-08,97.89999927206493,-4.0716262291873905e-09,179.93771900003955,-179.01104115030827,6998999.712747917,-4.104207481269562e-08,4.4613105108023575e-11,1.148342922165445,-8.160501875924277e-11,0.016173579512049036
5,2026-Jan-01 00:00:20.000,0.00294472466156877,1.2238424479845376,179.74659044834158,620.8728045379371,6997372.657529367,-20743.14946587186,149487.83363463904,6998999.731949263,3.8299095299419746e-08,97.89999902338276,-8.132598509834733e-09,179.8668813735965,-178.63131090934365,6998999.731949263,-3.829899193031196e-08,8.898244734200561e-11,1.1483429171335107,-1.6299650647962451e-10,0.021564772599666188
6,2026-Jan-01 00:00:25.000,0.003998803293422774,1.5298017990783086,179.6832198955557,620.8783182371454,6996457.332822738,-25927.80595684794,186851.64524166504,6998999.751074732,3.556733434611815e-08,97.89999877518807,-1.3536980921029894e-08,179.76173638468052,-178.21727330566438,6998999.751074732,-3.556702681367736e-08,1.4790579336667247e-10,1.14834291211144,-2.713131093452191e-10,0.02695596566805615
7,2026-Jan-01 00:00:30.000,0.005130679516179015,1.835760309999906,179.61983722580806,620.8850558790416,6995338.656820514,-31111.708704316385,224210.02609877457,6998999.7701257765,3.284679419272801e-08,97.89999852748048,-2.0279788859094083e-08,179.6140280452836,-177.76067235126268,6998999.7701257765,-3.284604889871791e-08,2.2127015718998318e-10,1.1483429070992255,-4.06454923760889e-10,0.03234715871730023
8,2026-Jan-01 00:00:35.000,0.006357024443099084,2.1417178121714384,179.55644000942493,620.8930166692361,6994016.662036615,-36294.7070389592,261561.89038832425,6998999.789103229,3.013759890253351e-08,97.89999828026721,-2.835587219028879e-08,179.41260865616314,-177.25036034689634,6998999.789103229,-3.013601515952495e-08,3.0896264316465484e-10,1.1483429020970135,-5.683187285208903e-10,0.037738351747482704
9,2026-Jan-01 00:00:40.000,0.007692025231870957,2.447674136784933,179.4930258134409,620.9021996690444,6992491.386894411,-41476.65031774933,298906.15248207457,6998999.808007419,2.7440029776018898e-08,97.89999803356164,-3.7759804306748726e-08,179.14205821823842,-176.67091729348493,6998999.808007419,-2.743695355965344e-08,4.10869169230634e-10,1.1483428971050744,-7.56795761227611e-10,0.04312954475869283
10,2026-Jan-01 00:00:45.000,0.00914739710109251,2.7536291147637018,179.42959220104618,620.9126037955741,6990762.875725582,-46657.38792833192,336241.726972741,6998999.8268383015,2.475455262278713e-08,97.8999977873817,-4.848581723320916e-08,178.78042967530473,-176.00039613482403,6998999.8268383015,-2.474894502113165e-08,5.268736996093762e-10,1.148342892123771,-9.717704176771863e-10,0.04852073775102591
