Index,Time,Distance,Latitude,Longitude,Altitude,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly,"Semi-Major Axis, a",f,g,h,k,L
1,2026-Jan-01 00:00:00.000,0.0,0.0,-180.0,620.862999999999,6998999.999999999,0.0,0.0,6999000.0,0.0,97.9,0.0,0.0,0.0,6999000.0,0.0,0.0,1.1483429368947748,0.0,0.0
2,2026-Jan-01 00:00:05.000,2.0969357523161867e-06,0.3059610366390901,179.93665366264523,620.8636128784511,6998898.287401381,-5186.164674737256,37374.67464840005,6998999.995472162,6.469264740168512e-10,97.89999999681743,0.0,180.0,-179.69110737858517,6998999.995472162,-6.469264740168512e-10,0.0,1.1483429368303775,0.0,0.005391193278805016
3,2026-Jan-01 00:00:10.000,1.278026565123544e-05,0.6119219051762723,179.87330490384457,620.8654514414892,6998593.152561918,-10372.178612875858,74748.26299367499,6998999.9954236075,6.53863717633319e-10,97.89999999744364,3.4084256948805656e-12,-179.9967227363424,180.6145079790726,6998999.9954236075,-6.538637165636861e-10,-3.740037779539945e-14,1.1483429368430484,6.831291249954572e-14,0.010782386555933944
4,2026-Jan-01 00:00:15.000,2.506073467435861e-05,0.9178824376687461,179.809951301581,620.8685154721858,6998084.604350325,-15557.891085125691,112119.67878837977,6998999.995375313,6.607635815487859e-10,97.89999999806783,1.0203465111878008e-11,-179.99030564315427,180.91698350719926,6998999.995375313,-6.607635720905784e-10,-1.1180017063768916e-13,1.1483429368556786,2.0450157397724367e-13,0.016173579833111712
5,2026-Jan-01 00:00:20.000,3.748502301852942e-05,1.223842465999316,179.74659043275656,620.8728046090202,6997372.657547502,-20743.15136929933,149487.83583625505,6998999.99532727,6.67627045426756e-10,97.89999999869006,2.0364376445434137e-11,-179.9808779059549,181.21644839131412,6998999.99532727,-6.67627008245029e-10,-2.2281618357912333e-13,1.148342936868269,4.0815026959361435e-13,0.021564773110338206
6,2026-Jan-01 00:00:25.000,5.0014900608124785e-05,1.5298018219360012,179.68321987263087,620.8783183459304,6996457.332846111,-25927.808756352137,186851.6480357569,6998999.995279471,6.744548167855446e-10,97.89999999931034,3.387096786707238e-11,-179.96856149786828,181.5130246045412,6998999.995279471,-6.744547152539323e-10,-3.700769643820958e-13,1.14834293688082,6.788543073506625e-13,0.02695596638761334
7,2026-Jan-01 00:00:30.000,6.26655147615091e-05,1.835760337093686,179.6198371942724,620.8850560323689,6995338.6568499645,-31111.71255476264,224210.02941162363,6998999.995231913,6.812473763584706e-10,97.8999999999287,5.070318477020547e-11,-179.95347202509697,181.80682775308296,6998999.995231913,-6.812471517335893e-10,-5.532180144875214e-13,1.148342936893332,1.0162117455015793e-12,0.03234715966493701
8,2026-Jan-01 00:00:35.000,7.543285956784016e-05,2.1417178428956993,179.55643996800865,620.8930168733839,6994016.662073264,-36294.71209491241,261561.89414644,6998999.995184594,6.880049830712172e-10,97.90000000054512,7.084068550714623e-11,-179.93571950704688,182.09796785634546,6998999.995184594,-6.880045500843981e-10,-7.718769272896256e-13,1.148342936905805,1.419814889316975e-12,0.03773835294230912
9,2026-Jan-01 00:00:40.000,8.832633694846897e-05,2.447674170535302,179.49302576087518,620.90219992973,6992491.386939653,-41476.656733465075,298906.1566121964,6998999.99513751,6.947277299812747e-10,97.90000000115957,9.426260360729132e-11,-179.91540892808277,182.3865498986934,6998999.99513751,-6.947269728200723e-10,-1.0256905933555617e-12,1.148342936918238,1.889245525374882e-12,0.04312954621972957
10,2026-Jan-01 00:00:45.000,0.00010135308605200874,2.7536291509370576,179.4295921360632,620.9126041179569,6990762.875781089,-46657.39585774494,336241.7314018419,6998999.995090662,7.014155738279907e-10,97.90000000177203,1.2094734190881056e-10,-179.89264071638274,182.67267430830498,6998999.995090662,-7.014143424844751e-10,-1.3142927835792342e-12,1.1483429369306308,2.424070795472888e-12,0.048520739497198234
11,2026-Jan-01 00:00:50.000,0.0001145229892899814,3.059582614718092,179.36613665236467,620.9242282105722,6988831.178836569,-51836.778890114445,373567.5333608327,6998999.995044049,7.080683664679323e-10,97.90000000238244,1.5087244738900204e-10,-179.86751111720372,182.95643733043707,6998999.995044049,-7.08066473433056e-10,-1.6373126278887765e-12,1.1483429369429823,3.023840687932404e-12,0.053911932774714975
12,2026-Jan-01 00:00:55.000,0.0001278485931202083,3.3655343921491734,179.30265686361616,620.9370708361724,6986696.35225066,-57014.655292350544,410882.47761867056,6998999.994997672,7.146858972396598e-10,97.90000000299077,1.8401461900506796e-10,-179.84011242921693,183.23793126376086,6998999.994997672,-7.146831145224147e-10,-1.9943745381916647e-12,1.1483429369552913,3.68808819474635e-12,0.05930312605227964
13,2026-Jan-01 00:01:00.000,0.00014132754098795605,3.67148431311566,179.2391503181398,620.9511304796208,6984358.4580718735,-62190.87457002035,448185.4796204355,6998999.994951531,7.212679332587682e-10,97.90000000359694,2.203498110621111e-10,-179.81053314851908,183.5172446043732,6998999.994951531,-7.212639897079154e-10,-2.3850991582884397e-12,1.1483429369675568,4.416331383318295e-12,0.06469431932989206
14,2026-Jan-01 00:01:05.000,0.00015498143353777664,3.977432207078235,179.1756145581816,620.9664054822289,6981817.564250857,-67365.28627685507,485475.455158308,6998999.994905628,7.278142318875246e-10,97.90000000420092,2.598532708109816e-10,-179.77885815746623,183.79446223463003,6998999.994905628,-7.278088107978345e-10,-2.8091036060372204e-12,1.148342936979778,5.208074150012227e-12,0.07008551260755207
15,2026-Jan-01 00:01:10.000,0.0001688034744997303,4.283377903033456,179.11204711934732,620.9828940419685,6979073.744638422,-72537.74001912274,522751.32040308125,6998999.994859963,7.343245889463307e-10,97.90000000480264,3.024998428909265e-10,-179.7451686936888,184.0696653921619,6998999.994859963,-7.343173259193666e-10,-3.2660045664925846e-12,1.1483429369919536,6.0628123219033155e-12,0.07547670588525948
16,2026-Jan-01 00:01:15.000,0.00018280620936203307,4.589321229474062,179.0484455300346,621.0005942136831,6976127.078983395,-77708.08545999943,560011.9919356629,6998999.994814536,7.407988754983879e-10,97.90000000540209,3.482643174804667e-10,-179.70954229320083,184.3429316129828,6998999.994814536,-7.407893565289301e-10,-3.755421831121146e-12,1.148342937004083,6.980040634544929e-12,0.08086789916301412
17,2026-Jan-01 00:01:20.000,0.00019699774977375632,4.895262014349047,178.98480731086192,621.0195039093392,6972977.652930308,-82876.17232393863,597256.3867785637,6998999.994769346,7.472370435958188e-10,97.9000000059992,3.97121639968963e-10,-179.6720528492056,184.61433479029608,6998999.994769346,-7.472248033631662e-10,-4.276980324611589e-12,1.1483429370161653,7.959256934282735e-12,0.08625909244081581
18,2026-Jan-01 00:01:25.000,0.00021138654646154435,5.201200085023473,178.92112997409382,621.0396208982719,6969625.558016895,-88041.85040103944,634483.4224273751,6998999.994724393,7.536391404406056e-10,97.900000006594,4.490472046275812e-10,-179.63277060661517,184.8839451690137,6998999.994724393,-7.536236607751717e-10,-4.830313021310524e-12,1.1483429370282003,8.999968064115427e-12,0.09165028571866438
19,2026-Jan-01 00:01:30.000,0.00022597153781198526,5.507135268237992,178.8574110230619,621.0609428074583,6966070.89167144,-93204.9695514117,671692.0168822317,6998999.9946796745,7.600053264376193e-10,97.90000000718642,5.040172216615564e-10,-179.59176210754617,185.15182929125245,6998999.9946796745,-7.599860349301333e-10,-5.415064609629099e-12,1.1483429370401876,1.0101697220290253e-11,0.09704147899655968
20,2026-Jan-01 00:01:35.000,0.00024076628544982668,5.81306739006806,178.79364795158213,621.0834671218312,6962313.757209949,-98365.37970954059,708881.0886792595,6998999.994635189,7.663358904567784e-10,97.90000000777648,5.620091074038175e-10,-179.54909012769468,185.41804993270833,6998999.994635189,-7.66312159177369e-10,-6.030895381463181e-12,1.1483429370521274,1.126399177270614e-11,0.10243267227450162
21,2026-Jan-01 00:01:40.000,0.0002557725461568297,6.1189962758828385,178.7298382433665,621.1071911845598,6958354.263833136,-103522.93088864745,746049.5569220079,6998999.994590932,7.726312191430768e-10,97.90000000836422,6.230014708731307e-10,-179.50481391122275,185.68266633754345,6998999.994590932,-7.726023634731959e-10,-6.677480823545531e-12,1.1483429370640197,1.2486422995507091e-11,0.10782386555249006
22,2026-Jan-01 00:01:45.000,0.0002709883484194599,6.424921750303744,178.6659793714308,621.1321121973889,6954192.52662326,-108677.47318504985,783196.341312867,6998999.994546899,7.788918348137637e-10,97.90000000894962,6.869747242824342e-10,-179.45898894726474,185.9457339948922,6998999.994546899,-7.78857112317454e-10,-7.354517799837413e-12,1.1483429370758649,1.3768598303113193e-11,0.11321505883052496
