Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.046809567998934654,0.0,-1.2310900007009256e-06,-2.1140745402736524e-07,0.009864088542893406,[0.00165365],[-47.09271588],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.02338599799986696,-0.0,1.5176378225289777e-07,-4.78202646807967e-07,0.003964634642520584,[-0.00536952],[14.4439463],[-0.57091264],24946.74679630167,4267.489218445991,24123.41564487473,7655.877322224644
3,2026-Jan-01 00:00:10.000,0.02349263300129678,-0.0,1.5103338144881134e-07,-4.769350001992839e-07,0.003956219349468053,[-0.00536297],[14.40500715],[-0.57202568],24931.31041837124,4248.507911243948,24110.6449400189,7635.237994026749
4,2026-Jan-01 00:00:15.000,0.025157695999951102,-0.0,1.503250214502572e-07,-4.7571221709638066e-07,0.0039483558358739835,[-0.00535717],[14.36600073],[-0.57320988],24914.763204321178,4229.454267517844,24096.72465557198,7614.563007945417
5,2026-Jan-01 00:00:20.000,0.02342561000114074,-0.0,1.4963282375161148e-07,-4.745167306044231e-07,0.003940894185335082,[-0.00535193],[14.32692518],[-0.57445887],24897.12791226082,4210.324442404208,24081.67833433348,7593.851380655057
6,2026-Jan-01 00:00:25.000,0.023329118999754428,-0.0,1.4895164483977594e-07,-4.7333314452398606e-07,0.003933702241059837,[-0.00534707],[14.28777872],[-0.57577457],24878.42769399301,4191.11457027269,24065.529901239213,7573.102167470849
7,2026-Jan-01 00:00:30.000,0.023121528000046965,-0.0,1.4827667394922872e-07,-4.721469814919188e-07,0.003926655190580541,[-0.00534243],[14.24855964],[-0.57715151],24858.686067897575,4171.82076835758,24048.30363636353,7552.314463715698
8,2026-Jan-01 00:00:35.000,0.024359966999327298,-0.0,1.4760391270578216e-07,-4.709462274213665e-07,0.00391964839152703,[-0.00533786],[14.20926633],[-0.57859788],24837.926891394072,4152.439140440487,24030.024143971423,7531.487417333274
9,2026-Jan-01 00:00:40.000,0.025621056998716085,-0.0,1.4693047102532345e-07,-4.697223149448119e-07,0.003912605587073895,[-0.00533325],[14.16989707],[-0.58010653],24816.174333032202,4132.965780579422,24010.716362346215,7510.620110073898
10,2026-Jan-01 00:00:45.000,0.02884310499939602,-0.0,1.4625384734154505e-07,-4.6846783999930873e-07,0.0039054599610241336,[-0.00532852],[14.1304504],[-0.58168033],24793.45284425886,4113.396776879966,23990.405466938228,7489.711777928083
