Index,Time,Total Velo,dLat,dLon
1,2026-Jan-01 00:00:00.000,7546.592351670894,6.119221292717397e-05,359.9999915088788
2,2026-Jan-01 00:00:05.000,7546.592335087739,6.119219599298731e-05,-8.491363416851527e-06
3,2026-Jan-01 00:00:10.000,7546.5923349686045,6.119214558553132e-05,-8.492089932587987e-06
4,2026-Jan-01 00:00:15.000,7546.5923348362785,6.119206156351975e-05,-8.493300867939979e-06
5,2026-Jan-01 00:00:20.000,7546.592334762596,6.119194390841187e-05,-8.494996677654854e-06
6,2026-Jan-01 00:00:25.000,7546.592334622458,6.119179259234109e-05,-8.497177560684577e-06
7,2026-Jan-01 00:00:30.000,7546.5923345305255,6.119160758188968e-05,-8.499844170728466e-06
8,2026-Jan-01 00:00:35.000,7546.592334438844,6.119138883420305e-05,-8.50299696253387e-06
9,2026-Jan-01 00:00:40.000,7546.592334330821,6.119113629932116e-05,-8.506636731908657e-06
10,2026-Jan-01 00:00:45.000,7546.592334257705,6.119084991995649e-05,-8.510764303082397e-06
11,2026-Jan-01 00:00:50.000,7546.592334029611,6.119052963082794e-05,-8.515380557128083e-06
12,2026-Jan-01 00:00:55.000,7546.592334016153,6.119017535821669e-05,-8.520486574070674e-06
13,2026-Jan-01 00:01:00.000,7546.592333950059,6.118978702218669e-05,-8.526083519200256e-06
14,2026-Jan-01 00:01:05.000,7546.592333822361,6.118936453303192e-05,-8.532172671493754e-06
15,2026-Jan-01 00:01:10.000,7546.592333700956,6.118890779305275e-05,-8.53875539519322e-06
16,2026-Jan-01 00:01:15.000,7546.5923336127835,6.118841669966457e-05,-8.545833253492674e-06
17,2026-Jan-01 00:01:20.000,7546.592333533882,6.118789114051282e-05,-8.553407781164424e-06
18,2026-Jan-01 00:01:25.000,7546.592333528057,6.118733099036433e-05,-8.561480683511036e-06
19,2026-Jan-01 00:01:30.000,7546.592333209049,6.118673612487413e-05,-8.570053893208751e-06
20,2026-Jan-01 00:01:35.000,7546.592333113658,6.11861064045982e-05,-8.579129314512102e-06
21,2026-Jan-01 00:01:40.000,7546.592333301269,6.118544168653983e-05,-8.588709050627585e-06
22,2026-Jan-01 00:01:45.000,7546.592333019762,6.118474181171507e-05,-8.598795261605119e-06
23,2026-Jan-01 00:01:50.000,7546.592332851954,6.118400662291634e-05,-8.609390391711713e-06
24,2026-Jan-01 00:01:55.000,7546.5923330117785,6.118323595227793e-05,-8.620496629418994e-06
25,2026-Jan-01 00:02:00.000,7546.592332884797,6.118242961239417e-05,-8.632116873741325e-06
26,2026-Jan-01 00:02:05.000,7546.592332748733,6.118158742030033e-05,-8.644253540524005e-06
27,2026-Jan-01 00:02:10.000,7546.592332882204,6.118070918059715e-05,-8.656909500359689e-06
28,2026-Jan-01 00:02:15.000,7546.592332581071,6.117979467923362e-05,-8.670087737527865e-06
29,2026-Jan-01 00:02:20.000,7546.592332768106,6.117884371548143e-05,-8.683791349994863e-06
30,2026-Jan-01 00:02:25.000,7546.592332622506,6.117785605752601e-05,-8.698023492570428e-06
31,2026-Jan-01 00:02:30.000,7546.592332495558,6.117683147266462e-05,-8.712787405329436e-06
32,2026-Jan-01 00:02:35.000,7546.592332693206,6.117576972108907e-05,-8.728086697828985e-06
