Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.044155193001643056,0.0,-4.474918009298161e-06,-7.684499287528154e-07,0.017927603766082708,[0.],[-94.18543176],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.023715687000731123,0.0,-1.3052753127937645e-08,4.112879248787975e-08,-0.00017049323812673195,[-0.],[28.88789248],[-0.57091264],24946.746796298805,4267.489218447403,24123.415649662114,7655.877307131208
3,2026-Jan-01 00:00:10.000,0.02384873300070467,0.0,-1.2965790363726422e-08,4.094352634865699e-08,-0.000169815143678291,[-0.],[28.81001423],[-0.57202568],24931.31041841959,4248.507911288423,24110.644941197414,7635.237990487862
4,2026-Jan-01 00:00:15.000,0.026024325999969733,0.0,-1.2881125522998605e-08,4.0763066022374237e-08,-0.00016916434332491298,[-0.],[28.73200142],[-0.57320988],24914.76320444521,4229.454267609045,24096.724653185833,7614.563015953013
5,2026-Jan-01 00:00:20.000,0.024842190998242586,0.0,-1.2798225790704989e-08,4.058582923645134e-08,-0.00016853405601048498,[-0.],[28.6538504],[-0.57445887],24897.127912486016,4210.324442545819,24081.678324959063,7593.851411200103
6,2026-Jan-01 00:00:25.000,0.024745566001001862,0.0,-1.2716645491903927e-08,4.041049548610912e-08,-0.00016791857759912586,[-0.],[28.57555748],[-0.57577457],24878.427694345693,4191.114570468322,24065.52989186319,7573.102198532513
7,2026-Jan-01 00:00:30.000,0.02399586100000306,0.0,-1.2635952743037722e-08,4.023577518768442e-08,-0.00016731232194900977,[-0.],[28.49711932],[-0.57715151],24858.68606840485,4171.820768610832,24048.30362700166,7552.314495335653
8,2026-Jan-01 00:00:35.000,0.02470470299886074,0.0,-1.2555820912436132e-08,4.006070262963202e-08,-0.00016671103787029338,[-0.],[28.41853275],[-0.57859788],24837.92689208389,4152.43914075491,24030.024131215927,7531.487460479354
9,2026-Jan-01 00:00:40.000,0.024394486999881337,0.0,-1.2475983049252105e-08,3.988449476174704e-08,-0.00016611122375892383,[-0.],[28.33979422],[-0.58010653],24816.174333933315,4132.965780958519,24010.71634968577,7510.620153734115
10,2026-Jan-01 00:00:45.000,0.025858835999315488,0.0,-1.239623129942597e-08,3.970654973623387e-08,-0.00016551012366908263,[-0.],[28.26090089],[-0.58168033],24793.45284540072,4113.39677732718,23990.405454365005,7489.7118222270965
11,2026-Jan-01 00:00:50.000,0.024195209000026807,0.0,-1.2316440058497421e-08,3.95265244647547e-08,-0.00016490605246503463,[-0.],[28.18184981],[-0.58331047],24769.78713232357,4093.728215822683,23969.116884376082,7468.761682418479
