Index,Time,x,y,z,"Semi-Major Axis, a","Eccentricity, e","Inclination, i",RAAN,Arg. Peri.,True Anomaly
1,2026-Jan-01 00:00:00.000,6999000.0,0.0,0.0,6999000.0,0,97.9,0,0,0
2,2026-Jan-01 00:00:05.000,6998898.287401446,-5186.164676813333,37374.67464811232,6999000.0,0,97.9,0,0,0.30889262141482354
3,2026-Jan-01 00:00:10.000,6998593.152562049,-10372.178618297103,74748.26300524634,6999000.0,0,97.9,0,0,0.6177852428296471
4,2026-Jan-01 00:00:15.000,6998084.604350523,-15557.89109350285,112119.67881199667,6999000.0,0,97.9,0,0,0.9266778642444706
5,2026-Jan-01 00:00:20.000,6997372.657547766,-20743.15138024421,149487.8358721029,6999000.0,0,97.9,0,0,1.2355704856592942
6,2026-Jan-01 00:00:25.000,6996457.3328464385,-25927.808769477608,186851.64808401975,6999000.0,0,97.9,0,0,1.5444631070741177
7,2026-Jan-01 00:00:30.000,6995338.656850355,-31111.71256968265,224210.0294724845,6999000.0,0,97.9,0,0,1.8533557284889413
8,2026-Jan-01 00:00:35.000,6994016.6620737165,-36294.7121112419,261561.8942200806,6999000.0,0,97.9,0,0,2.1622483499037646
9,2026-Jan-01 00:00:40.000,6992491.386940161,-41476.65675082012,298906.15669879725,6999000.0,0,97.9,0,0,2.4711409713185883
10,2026-Jan-01 00:00:45.000,6990762.875781649,-46657.3958757427,336241.73150158266,6999000.0,0,97.9,0,0,2.780033592733412
11,2026-Jan-01 00:00:50.000,6988831.178837176,-51836.77890837315,373567.53347389126,6999000.0,0,97.9,0,0,3.088926214148236
12,2026-Jan-01 00:00:55.000,6986696.352251311,-57014.65531048969,410882.47774522397,6999000.0,0,97.9,0,0,3.3978188355630596
13,2026-Jan-01 00:01:00.000,6984358.458072562,-62190.874587660575,448185.4797606597,6999000.0,0,97.9,0,0,3.7067114569778834
14,2026-Jan-01 00:01:05.000,6981817.564251577,-67365.28629361825,485475.45531237754,6999000.0,0,97.9,0,0,4.015604078392707
15,2026-Jan-01 00:01:10.000,6979073.744639167,-72537.74003463198,522751.3205711694,6999000.0,0,97.9,0,0,4.324496699807531
16,2026-Jan-01 00:01:15.000,6976127.078984161,-77708.08547387914,560011.9921179416,6999000.0,0,97.9,0,0,4.633389321222355
17,2026-Jan-01 00:01:20.000,6972977.652931084,-82876.17233581463,597256.386975204,6999000.0,0,97.9,0,0,4.9422819426371785
18,2026-Jan-01 00:01:25.000,6969625.558017673,-88041.85041053865,634483.4226385467,6999000.0,0,97.9,0,0,5.251174564052002
19,2026-Jan-01 00:01:30.000,6966070.891672214,-93204.96955816259,671692.0171081027,6999000.0,0,97.9,0,0,5.560067185466826
20,2026-Jan-01 00:01:35.000,6962313.757210708,-98365.37971317276,708881.0889199969,6999000.0,0,97.9,0,0,5.86895980688165
21,2026-Jan-01 00:01:40.000,6958354.263833872,-103522.93088879203,746049.5571777775,6999000.0,0,97.9,0,0,6.1778524282964735
22,2026-Jan-01 00:01:45.000,6954192.526623966,-108677.47318133927,783196.3415838336,6999000.0,0,97.9,0,0,6.486745049711297
23,2026-Jan-01 00:01:50.000,6949828.66654144,-113828.85677458614,820320.3624707923,6999000.0,0,97.9,0,0,6.795637671126121
24,2026-Jan-01 00:01:55.000,6945262.8104214305,-118976.93194411165,857420.5408329008,6999000.0,0,97.9,0,0,7.104530292540945
