Index,Time,Total Velo,dLat,dLon
1,2026-Jan-01 00:00:00.000,7546.592351670894,6.119221292717397e-05,359.9999915088788
2,2026-Jan-01 00:00:05.000,7546.592280583015,6.119219556155464e-05,-8.491363217899561e-06
3,2026-Jan-01 00:00:10.000,7546.59228045899,6.119214515409865e-05,-8.49208976205773e-06
4,2026-Jan-01 00:00:15.000,7546.592280351256,6.119206113230913e-05,-8.493300697409722e-06
5,2026-Jan-01 00:00:20.000,7546.592280271357,6.119194347720125e-05,-8.494996535546306e-06
6,2026-Jan-01 00:00:25.000,7546.592280165449,6.119179216157455e-05,-8.497177475419448e-06
7,2026-Jan-01 00:00:30.000,7546.592280058815,6.119160715112315e-05,-8.4998439717765e-06
8,2026-Jan-01 00:00:35.000,7546.592279886982,6.119138840210425e-05,-8.502996820425324e-06
9,2026-Jan-01 00:00:40.000,7546.592279954544,6.11911358694428e-05,-8.506636618221819e-06
10,2026-Jan-01 00:00:45.000,7546.592279798136,6.119084949007814e-05,-8.510764189395559e-06
11,2026-Jan-01 00:00:50.000,7546.592279855784,6.119052920272594e-05,-8.515380415019536e-06
12,2026-Jan-01 00:00:55.000,7546.592279714072,6.119017493055878e-05,-8.520486460383836e-06
13,2026-Jan-01 00:01:00.000,7546.592279549045,6.118978659497287e-05,-8.526083405513418e-06
14,2026-Jan-01 00:01:05.000,7546.592279388656,6.118936410448583e-05,-8.532172529385207e-06
15,2026-Jan-01 00:01:10.000,7546.592279474126,6.118890736761529e-05,-8.538755309928092e-06
16,2026-Jan-01 00:01:15.000,7546.592279247649,6.118841627333893e-05,-8.545833082962417e-06
17,2026-Jan-01 00:01:20.000,7546.592279454583,6.118789071418718e-05,-8.553407639055877e-06
18,2026-Jan-01 00:01:25.000,7546.592279532396,6.118733056847958e-05,-8.561480598245907e-06
19,2026-Jan-01 00:01:30.000,7546.592279302066,6.11867357021012e-05,-8.570053751100204e-06
20,2026-Jan-01 00:01:35.000,7546.5922792007805,6.118610598360164e-05,-8.579129172403555e-06
21,2026-Jan-01 00:01:40.000,7546.59227924709,6.118544126465508e-05,-8.588708908519038e-06
22,2026-Jan-01 00:01:45.000,7546.592279084746,6.118474139160668e-05,-8.598795119496572e-06
23,2026-Jan-01 00:01:50.000,7546.592279201377,6.118400620547249e-05,-8.609390249603166e-06
24,2026-Jan-01 00:01:55.000,7546.592279046132,6.118323553128135e-05,-8.620496572575576e-06
25,2026-Jan-01 00:02:00.000,7546.592279065484,6.118242919406214e-05,-8.632116703211068e-06
26,2026-Jan-01 00:02:05.000,7546.592279434793,6.118158700640919e-05,-8.644253341572039e-06
27,2026-Jan-01 00:02:10.000,7546.592279377675,6.1180708766706e-05,-8.656909358251141e-06
28,2026-Jan-01 00:02:15.000,7546.592279477331,6.117979427067155e-05,-8.670087652262737e-06
29,2026-Jan-01 00:02:20.000,7546.5922791898865,6.117884330336665e-05,-8.683791207886316e-06
30,2026-Jan-01 00:02:25.000,7546.592279054324,6.117785564363487e-05,-8.698023350461881e-06
31,2026-Jan-01 00:02:30.000,7546.592279733929,6.117683106765526e-05,-8.712787291642599e-06
32,2026-Jan-01 00:02:35.000,7546.592279374311,6.117576931430335e-05,-8.728086555720438e-06
33,2026-Jan-01 00:02:40.000,7546.59227930114,6.11746701473237e-05,-8.743924723830787e-06
34,2026-Jan-01 00:02:45.000,7546.592279351691,6.11735332984864e-05,-8.760305519217582e-06
35,2026-Jan-01 00:02:50.000,7546.592279462754,6.117235850133795e-05,-8.777232835655013e-06
36,2026-Jan-01 00:02:55.000,7546.592279396922,6.11711454734376e-05,-8.794710623760693e-06
37,2026-Jan-01 00:03:00.000,7546.592279366288,6.116989392879191e-05,-8.812743033104198e-06
38,2026-Jan-01 00:03:05.000,7546.592279586636,6.116860356364384e-05,-8.831334497472199e-06
39,2026-Jan-01 00:03:10.000,7546.59227940458,6.116727406180189e-05,-8.8504892516994e-06
