Index,Time,Compute Time,Acc. S,Acc. T,Acc. N,Average Current,Max Current,V_emf,V_float,Magnetic Field North,Magnetic Field East,Magnetic Field T,Magnetic Field N
1,2026-Jan-01 00:00:00.000,0.03532810199999403,-0.0,-8.649049453544906e-05,-1.4852476453302804e-05,0.17325091904949347,[0.45585632],[-188.37086352],[-0.5698741],24961.05000035798,4286.402009661504,4286.406252500115,-24961.049271761978
2,2026-Jan-01 00:00:05.000,0.022727323999959026,0.0,2.3987329322284895e-05,-7.558328195005748e-05,0.1566595768165862,[-1.48043941],[57.77578023],[-0.57091264],24946.74679622703,4267.489218483177,24123.415716406795,7655.877096606982
3,2026-Jan-01 00:00:10.000,0.021841642000026695,0.0,2.3834875512373675e-05,-7.526606773701978e-05,0.15608472211893676,[-1.47888804],[57.62001539],[-0.57202568],24931.31041834913,4248.507912493514,24110.645396692616,7635.236552560047
4,2026-Jan-01 00:00:15.000,0.02319732699999122,0.0,2.368640973968456e-05,-7.495704076496933e-05,0.1555336653848925,[-1.47756164],[57.46398169],[-0.57320988],24914.76320322358,4229.454269809486,24096.725483668233,7614.5603850680245
5,2026-Jan-01 00:00:20.000,0.022163784000042597,0.0,2.3540967843155525e-05,-7.46533346256838e-05,0.15500026590886382,[-1.47640369],[57.3076714],[-0.57445887],24897.127908791488,4210.324445570854,24081.679533884813,7593.847567009017
6,2026-Jan-01 00:00:25.000,0.022860287000014523,0.0,2.3397731234360602e-05,-7.435251709702657e-05,0.15447927506718404,[-1.47536558],[57.15107755],[-0.57577504],24878.427686691484,4191.114574151581,24065.531465204695,7573.097175716542
7,2026-Jan-01 00:00:30.000,0.024467209000022194,0.0,2.3255917718319113e-05,-7.40522487720656e-05,0.1539656268422489,[-1.47439992],[56.99419348],[-0.57715151],24858.686055143524,4171.820772791413,24048.305550672852,7552.308328581292
8,2026-Jan-01 00:00:35.000,0.021502741000006154,0.0,2.311491496942161e-05,-7.375071194420918e-05,0.15345532842699638,[-1.47346911],[56.83701201],[-0.57859788],24837.926871411753,4152.439145278497,24030.026425343305,7531.480075134086
9,2026-Jan-01 00:00:40.000,0.022446320000028663,0.0,2.2974245830239466e-05,-7.344650337365922e-05,0.15294523957209108,[-1.47254337],[56.67952705],[-0.58010653],24816.174303894924,4132.965785678534,24010.71899300273,7510.611606649744
10,2026-Jan-01 00:00:45.000,0.02210801200004653,0.0,2.2833524399069297e-05,-7.313849977956026e-05,0.15243279403566595,[-1.47159808],[56.5217325],[-0.58168033],24793.45280389358,4113.396782105928,23990.408442702766,7489.702115453827
11,2026-Jan-01 00:00:50.000,0.021537182000031407,0.0,2.269253497334272e-05,-7.282611414072583e-05,0.15191653569730643,[-1.47061918],[56.36362236],[-0.58331047],24769.787077102945,4093.7282205324755,23969.12021671946,7468.75080753473
12,2026-Jan-01 00:00:55.000,0.021935044000031212,0.0,2.2551174711363366e-05,-7.250911678223149e-05,0.15139574931516175,[-1.46959957],[56.20519068],[-0.58500219],24745.202054880516,4073.956188628986,23946.87998514696,7447.75689323298
