Index,Time,Total Velo,dLat,dLon
1,2026-Jan-01 00:00:00.000,7546.592351670894,6.119221292717397e-05,359.9999915088788
2,2026-Jan-01 00:00:05.000,7546.591919245932,6.11921927014536e-05,-8.491362365248278e-06
3,2026-Jan-01 00:00:10.000,7546.592039215527,6.119214369371129e-05,-8.492085868283539e-06
4,2026-Jan-01 00:00:15.000,7546.592158417971,6.119206106391939e-05,-8.493293989886297e-06
5,2026-Jan-01 00:00:20.000,7546.592276896559,6.119194479303758e-05,-8.49498684374339e-06
6,2026-Jan-01 00:00:25.000,7546.59239466564,6.119179485453152e-05,-8.497164856180461e-06
7,2026-Jan-01 00:00:30.000,7546.592511782586,6.119161121387329e-05,-8.499828595631698e-06
8,2026-Jan-01 00:00:35.000,7546.592627983985,6.119139382754213e-05,-8.502978488422741e-06
9,2026-Jan-01 00:00:40.000,7546.592743552896,6.119114264757641e-05,-8.506615358783165e-06
10,2026-Jan-01 00:00:45.000,7546.592858441377,6.119085761646659e-05,-8.510740059364252e-06
11,2026-Jan-01 00:00:50.000,7546.592972564018,6.119053866759927e-05,-8.515353499660705e-06
12,2026-Jan-01 00:00:55.000,7546.59308587734,6.119018572681156e-05,-8.520456617588934e-06
13,2026-Jan-01 00:01:00.000,7546.593198647729,6.118979871638786e-05,-8.526050748969283e-06
14,2026-Jan-01 00:01:05.000,7546.593310453645,6.118937754395759e-05,-8.532137087513547e-06
15,2026-Jan-01 00:01:10.000,7546.593421501968,6.118892211492977e-05,-8.53871699746378e-06
16,2026-Jan-01 00:01:15.000,7546.5935320736735,6.118843232361115e-05,-8.54579201359229e-06
17,2026-Jan-01 00:01:20.000,7546.593641388727,6.118790805409446e-05,-8.553363699093097e-06
18,2026-Jan-01 00:01:25.000,7546.593750261804,6.118734919180469e-05,-8.561433816112185e-06
19,2026-Jan-01 00:01:30.000,7546.593858451731,6.118675560617959e-05,-8.570004240482376e-06
20,2026-Jan-01 00:01:35.000,7546.593965417756,6.118612715333427e-05,-8.579076848036493e-06
21,2026-Jan-01 00:01:40.000,7546.59407164637,6.118546369382472e-05,-8.588653827246162e-06
22,2026-Jan-01 00:01:45.000,7546.594177317353,6.118476507488424e-05,-8.59873728131788e-06
23,2026-Jan-01 00:01:50.000,7546.594282156223,6.118403113131166e-05,-8.609329512410113e-06
24,2026-Jan-01 00:01:55.000,7546.594386295226,6.118326169879396e-05,-8.620433135320127e-06
25,2026-Jan-01 00:02:00.000,7546.594489498365,6.118245658637278e-05,-8.632050509049805e-06
26,2026-Jan-01 00:02:05.000,7546.594592495951,6.118161562085334e-05,-8.644184390504961e-06
27,2026-Jan-01 00:02:10.000,7546.594694109959,6.118073859084916e-05,-8.65683759343483e-06
28,2026-Jan-01 00:02:15.000,7546.594795263066,6.117982530717825e-05,-8.67001313054061e-06
29,2026-Jan-01 00:02:20.000,7546.594895630841,6.117887553891421e-05,-8.683713957680084e-06
30,2026-Jan-01 00:02:25.000,7546.594995214499,6.117788907289423e-05,-8.697943314928125e-06
31,2026-Jan-01 00:02:30.000,7546.595094089168,6.117686567819192e-05,-8.712704527624737e-06
32,2026-Jan-01 00:02:35.000,7546.595192297635,6.117580510434095e-05,-8.728000949531634e-06
33,2026-Jan-01 00:02:40.000,7546.595290090426,6.117470710975681e-05,-8.743836360736168e-06
34,2026-Jan-01 00:02:45.000,7546.595386749124,6.11735714262096e-05,-8.760214456060567e-06
35,2026-Jan-01 00:02:50.000,7546.59548314382,6.117239779079853e-05,-8.777138930327055e-06
36,2026-Jan-01 00:02:55.000,7546.595579252693,6.117118592108284e-05,-8.794613933105211e-06
37,2026-Jan-01 00:03:00.000,7546.595673616497,6.116993551685823e-05,-8.812643557121191e-06
38,2026-Jan-01 00:03:05.000,7546.595767956606,6.116864629213126e-05,-8.831232207739959e-06
39,2026-Jan-01 00:03:10.000,7546.595861637788,6.116731792715768e-05,-8.850384176639636e-06
40,2026-Jan-01 00:03:15.000,7546.595954165485,6.116595010219328e-05,-8.870104068137152e-06
41,2026-Jan-01 00:03:20.000,7546.5960463068195,6.116454249038838e-05,-8.890396770766529e-06
42,2026-Jan-01 00:03:25.000,7546.596137968965,6.116309474535342e-05,-8.911266945688112e-06
43,2026-Jan-01 00:03:30.000,7546.596228244221,6.116160651181701e-05,-8.932719822496438e-06
44,2026-Jan-01 00:03:35.000,7546.596318287864,6.116007743095508e-05,-8.954760573942622e-06
45,2026-Jan-01 00:03:40.000,7546.5964075032725,6.115850712262727e-05,-8.977394458042909e-06
46,2026-Jan-01 00:03:45.000,7546.596496278332,6.115689520669321e-05,-9.000627102295766e-06
47,2026-Jan-01 00:03:50.000,7546.596582855595,6.115524126570904e-05,-9.02446421946479e-06
48,2026-Jan-01 00:03:55.000,7546.596670123513,6.115354491420533e-05,-9.048911664422121e-06
49,2026-Jan-01 00:04:00.000,7546.596756599299,6.1151805718751e-05,-9.073975377305032e-06
50,2026-Jan-01 00:04:05.000,7546.596840909543,6.115002322637508e-05,-9.099661667733017e-06
51,2026-Jan-01 00:04:10.000,7546.596925385323,6.114819701608099e-05,-9.125976902168986e-06
52,2026-Jan-01 00:04:15.000,7546.597008149336,6.114632661180508e-05,-9.152927759714657e-06
53,2026-Jan-01 00:04:20.000,7546.597089588197,6.114441153570738e-05,-9.180520805784909e-06
54,2026-Jan-01 00:04:25.000,7546.5971715437545,6.114245131527696e-05,-9.208763117385388e-06
55,2026-Jan-01 00:04:30.000,7546.597251804248,6.114044543892305e-05,-9.237661885208581e-06
56,2026-Jan-01 00:04:35.000,7546.597330534201,6.113839339150218e-05,-9.267224385212103e-06
57,2026-Jan-01 00:04:40.000,7546.597409924157,6.113629466142356e-05,-9.29745820599237e-06
58,2026-Jan-01 00:04:45.000,7546.5974866359875,6.11341486767003e-05,-9.328371106676059e-06
59,2026-Jan-01 00:04:50.000,7546.597562637341,6.113195489376722e-05,-9.35997096007668e-06
60,2026-Jan-01 00:04:55.000,7546.59763759878,6.112971274063739e-05,-9.392266122176807e-06
61,2026-Jan-01 00:05:00.000,7546.597711631604,6.112742162400764e-05,-9.425264806850464e-06
62,2026-Jan-01 00:05:05.000,7546.5977847113645,6.112508094702207e-05,-9.458975682719029e-06
63,2026-Jan-01 00:05:10.000,7546.597856614612,6.112269007729765e-05,-9.49340770262097e-06
64,2026-Jan-01 00:05:15.000,7546.5979259984215,6.11202483717932e-05,-9.52856987623818e-06
65,2026-Jan-01 00:05:20.000,7546.5979963576865,6.111775520878382e-05,-9.564471582734768e-06
66,2026-Jan-01 00:05:25.000,7546.598064787358,6.111520988838492e-05,-9.601122343383395e-06
67,2026-Jan-01 00:05:30.000,7546.598130706514,6.11126117071592e-05,-9.638532020517232e-06
68,2026-Jan-01 00:05:35.000,7546.598196313365,6.110995999364377e-05,-9.676710675421418e-06
